Time;Elec_Central;ElecLoadVehicles;H2LoadVehicles;PV;Wind;Heating_Central;Cooling_Central
2025-01-01 00:00;load;load;Massflow;Generation;Generation;load;load
s;MW;MW;kg/h;MW;MW;MW;MW
true;true;true;true;true;true;true;true
3600;0.6452365263201074;0.0285;2.357865837;0.0;0.006165;11.604058;0.0
7200;0.6628366042026642;0.0285;2.357865837;0.0;0.004835;11.630634;0.0
10800;0.6446582612994656;0.0285;2.357865837;0.0;0.003581;11.523525;0.0
14400;0.9325406889677512;0.0285;2.357865837;0.0;0.002568;11.331653000000001;0.0
18000;1.8971757662262192;0.0285;2.357865837;0.0;0.001707;11.21158;0.0
21600;2.3944634740589636;0.0285;2.357865837;0.0;0.001106;11.321718;0.0
25200;2.048178878220981;0.0285;2.357865837;0.0;0.001253;11.67905;0.0
28800;2.0046709092360655;0.0285;2.357865837;3.6375e-05;0.001573;11.86357;0.0
32400;2.000111798107453;0.0285;2.357865837;9.093899999999999e-05;0.001851;11.804988999999999;0.0
36000;2.006378162444277;0.0285;2.357865837;0.000120549;0.0031469999999999996;11.479721999999999;0.0
39600;2.2807397356221957;0.0285;2.357865837;0.000121268;0.005938;10.986006;0.0
43200;2.168344184545241;0.0285;2.357865837;8.4912e-05;0.008231;10.518178;0.0
46800;2.116141794133133;0.0285;2.357865837;5.3209000000000005e-05;0.008733000000000001;10.063062;0.0
50400;2.135203262309749;0.0285;2.357865837;3.561e-05;0.0071059999999999995;9.594495;0.0
54000;2.1958126134289055;0.0285;2.357865837;1.7222999999999998e-05;0.007214000000000001;9.254727999999998;0.0
57600;2.013185195465127;0.0285;2.357865837;0.0;0.01;9.194849;0.0
61200;2.060300695535317;0.0285;2.357865837;0.0;0.012025000000000001;9.609557;0.0
64800;2.1712009114575923;0.0285;2.357865837;0.0;0.012572;10.399286;0.0
68400;2.297618072166463;0.0285;2.357865837;0.0;0.01031;10.532204;0.0
72000;2.164930869317188;0.0285;2.357865837;0.0;0.008376;9.977563;0.0
75600;1.6861981076628754;0.0285;2.357865837;0.0;0.007437;9.593451;0.0
79200;1.0962009190632496;0.0285;2.357865837;0.0;0.007;9.739192999999998;0.0
