Time;Command;Communication;Healthcare;Accommodation;Dining;Recreation;Periphery;Maintenance;Waste;Command;Communication;Healthcare;Accommodation;Dining;Recreation;Periphery;Maintenance;Waste;ElecLoadVehicles;H2LoadVehicles;DieselLoadVehicles;CH4LoadVehicles;PV;Wind;Heating_Central;Cooling_Central
2025-01-01 00:00;load;load;load;load;load;load;load;load;load;load;load;load;load;load;load;load;load;load;load;Massflow;Massflow;Massflow;Generation;Generation;load;load
s;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;kg/h;kg/hr;kg/h;MW;MW;MW;MW
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
3600;0.06945890740449769;0.18210718452856667;0.09104559084229007;0.0527465235457884;0.05918371018184133;0.004990651440821406;0.11324501398963312;0.02832454809802083;0.018354318673340766;0.07;0.2;0.1;0.048;0.06;0.005;0.12;0.03;0.02;0.0285;2.357865837;7.852;12.149;0.0;0.048663;0.497787;0.0
7200;0.07413369017226168;0.18427974022873642;0.09763931875172138;0.0301397554884481;0.06020861302030757;0.007885126599462628;0.12343303731997342;0.027555154187495993;0.01928790576869195;0.07;0.2;0.1;0.03;0.06;0.008;0.12;0.03;0.02;0.0285;2.357865837;7.852;12.149;0.0;0.048610999999999994;0.511906;0.0
10800;0.07426912175463803;0.18767938499848988;0.10144808567823979;0.026344853765716113;0.06029272399973865;0.006999041940283567;0.13022638157024832;0.02784096209532913;0.021724046059567508;0.07;0.2;0.1;0.024;0.06;0.007000000000000001;0.12;0.03;0.02;0.0285;2.357865837;7.852;12.149;0.0;0.05699;0.5199600000000001;0.0
14400;0.07637916124880526;0.21972522107981582;0.09758933207141343;0.10822831884738028;0.23268876016343207;0.023343296075521613;0.11070677147973979;0.02903750668929501;0.055596490452411045;0.07;0.2;0.1;0.12;0.24;0.022000000000000002;0.12;0.03;0.06;0.0285;2.357865837;7.852;12.149;0.0;0.055323;0.5237419999999999;0.0
18000;0.14893686181069665;0.24409024204667207;0.21329459586108107;0.3569863872180124;0.6043540402571072;0.029318878966597434;0.1361322060270864;0.05963680159680705;0.15475363945432574;0.14;0.225;0.2;0.36;0.57;0.028000000000000004;0.135;0.06;0.16;0.0285;2.357865837;7.852;12.149;0.0;0.061636;0.530357;0.0
21600;0.22961191616774698;0.23282490209923862;0.2877005136261931;0.5720518728485259;0.6054085138035842;0.04578066800637056;0.1468793209523563;0.0860509412201915;0.181875975141947;0.21;0.25;0.3;0.54;0.6;0.05;0.15;0.09;0.19;0.0285;2.357865837;7.852;12.149;0.0;0.070589;0.5476810000000001;0.0
25200;0.2632673506735984;0.23695869309884102;0.41243574865658483;0.2390516431659214;0.4650308115351826;0.02741712918850198;0.1395405103305878;0.10911210392527566;0.18189165847087396;0.28;0.2375;0.4;0.24;0.48;0.025;0.1425;0.12;0.196;0.0285;2.357865837;7.852;12.149;0.0;0.078808;0.57726;0.0
28800;0.32684972874334045;0.20955266737110329;0.4382364049724397;0.11491301914358697;0.4943425644120888;0.019197120243998583;0.12795900812717675;0.11713495357929929;0.1899926522467379;0.2975;0.225;0.425;0.12;0.48;0.02;0.135;0.1275;0.188;0.0285;2.357865837;7.852;12.149;0.0;0.078403;0.598634;0.0
32400;0.34026434675331196;0.23332035635799594;0.4190968571761833;0.08832707657738977;0.4509152359143186;0.014218004212930582;0.12475420095267994;0.13483839550146537;0.1828707581313557;0.31499999999999995;0.2175;0.45;0.09;0.42;0.015;0.13049999999999998;0.135;0.18600000000000003;0.0285;2.357865837;7.852;12.149;2.2e-08;0.07492499999999999;0.6076130000000001;0.0
36000;0.32177515587254235;0.2248452146442972;0.5220604371180144;0.09026124508473178;0.44591721986534877;0.019698078887824887;0.13891699979828231;0.13855810566301469;0.16244964784516977;0.35;0.22;0.5;0.096;0.48;0.02;0.132;0.15;0.17600000000000002;0.0285;2.357865837;7.852;12.149;7.308e-06;0.069664;0.6022029999999999;0.0
39600;0.30473632186881455;0.19617869223608767;0.49610057283931275;0.13742144051384364;0.5905457284674093;0.021747369360285346;0.13478107469679468;0.14142646452458377;0.1780961391677839;0.3325;0.2075;0.475;0.132;0.57;0.02;0.1245;0.1425;0.19400000000000003;0.0285;2.357865837;7.852;12.149;3.9299e-05;0.056989;0.586864;0.0
43200;0.2952581435749844;0.2477581332669567;0.4877463299774515;0.13769221136948126;0.593856257228765;0.024417079305295034;0.14024070759143276;0.1335409193474665;0.1733718056561686;0.31499999999999995;0.23;0.45;0.15;0.6;0.023000000000000003;0.13799999999999998;0.135;0.18600000000000003;0.0285;2.357865837;7.852;12.149;9.536e-05;0.066548;0.5716910000000001;0.0
46800;0.2979994897941161;0.26583047183088715;0.4771597317080067;0.16130899371280547;0.5041651817872005;0.01995855971379252;0.16346870609497657;0.13526934036688276;0.1780326511357207;0.32549999999999996;0.25;0.465;0.162;0.48;0.02;0.15;0.13949999999999999;0.17800000000000002;0.0285;2.357865837;7.852;12.149;9.3218e-05;0.075445;0.556052;0.0
