Time;Command;Communication;Healthcare;Accommodation;Dining;Recreation;Periphery;Maintenance;Waste;ElecLoadVehicles;H2LoadVehicles;DieselLoadVehicles;CH4LoadVehicles;Elec_Central;PV;Solar_Thermal;Wind;Heating_Central;Cooling_Central;Temperature;COP
2025-01-01 00:00;load;load;load;load;load;load;load;load;load;load;Massflow;Massflow;Massflow;load;Generation;Generation;Generation;load;load;temp;COP
s;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;kg/h;kg/h;kg/h;MW;MW;MW;MW;MW;MW;degC;-
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
3600;0.07089934210220844;0.18386964044257575;0.10576788819116041;0.05140764364590942;0.05887136705738473;0.005498526846395698;0.12322054595213477;0.03262565228734524;0.018047948435119428;0.026050016629291465;2.144463802745177;8.221132790065624;11.378808888342908;0.650208554960234;0.0;0.0;0.035110999999999996;1.638731;0.0;-1.445;1.1309994628030466
7200;0.07005949320166485;0.18056953983563911;0.09708036032388775;0.029467652782847024;0.055782155558217104;0.008373273448408883;0.11186760849047322;0.027563722048934935;0.019702035893989812;0.027119672248745577;2.1877304947740552;8.001082972266966;11.657075323248007;0.6004658415840627;0.0;0.0;0.030696;1.605666;0.0;-1.321;1.15010161514045
10800;0.07413698547597178;0.18923710475165287;0.10419988385213311;0.025512518352768118;0.05782407816718272;0.0068604018413244375;0.1292223867166486;0.0304679618747382;0.02113262479799898;0.02573791670848313;2.4434495554839653;8.6173420671709;12.002348582871214;0.6385939458304188;0.0;0.0;0.023875;1.556725;0.0;-1.193;1.1698199659403343
14400;0.0671081601870906;0.19435664385228527;0.09227720140058165;0.12683252311563525;0.23702505356981238;0.02361328536183191;0.11350577651222858;0.027604920799089827;0.0553068705185209;0.029681462817632048;2.4282165092274726;8.101001784487783;11.296072488887576;0.9376304353170765;0.0;0.0;0.018306999999999997;1.4995820000000002;0.0;-1.024;1.1958543509808095
18000;0.13736287509445017;0.21726098824024034;0.20400153915674257;0.379140727029647;0.521425249087068;0.030516814907389608;0.1360315055363067;0.06305100896970309;0.15002444306323992;0.029218062441668205;2.2572184846140444;8.186202286361285;11.45901875862352;1.8388151510847872;0.0;0.0;0.014268000000000001;1.455203;0.0;-0.854;1.2220427856369085
21600;0.19236019904643264;0.2608731176067796;0.3124131739274055;0.5775633021470731;0.566207367089451;0.04885571997692313;0.14200714249252225;0.08232659572276882;0.18906132485773808;0.026828586106422674;2.4478927335275857;7.974586342738103;11.455449861374493;2.3716679428670946;0.0;0.0;0.012349;1.443212;0.0;-0.73;1.2411449379743047
25200;0.2932773012883167;0.2450326823231557;0.38784842526527036;0.26195583963186697;0.4617351391449822;0.02505818703529621;0.13060760551518752;0.12257327799781564;0.2025753084842898;0.02972903614044881;2.2826514279353507;8.337088165508312;11.10825493311816;2.130663766686181;0.0;0.0;0.008602;1.464253;0.0;-0.661;1.2517743614523624
28800;0.2735283326129629;0.21891545794677228;0.4321632227456334;0.11725496993748113;0.46656578467594095;0.02029253803286062;0.1412860680527279;0.13506999801303088;0.1975932221365948;0.03018508962584408;2.4516108482349237;8.600048655381787;12.739489882014222;2.002669594154005;0.0;0.0;0.00731;1.465171;0.0;-0.737;1.2400665906649309
32400;0.33444708989970956;0.22088221076966186;0.4501745140740488;0.09079231975677036;0.4182688932998009;0.013726329135496262;0.13831104977823938;0.14154952035075255;0.18084086161293617;0.02981610271185182;2.258328723714065;7.32622531128659;11.293059574549593;1.988992788677416;0.0;0.0;0.006109;1.438519;0.0;-1.132;1.1792169924934015
36000;0.3165344749306786;0.20760658982326674;0.513422722475298;0.10016794685639256;0.5120867444921035;0.020575447713099174;0.14509499192584052;0.15215174138002294;0.181860541178254;0.02964900017337353;2.230386645382714;7.638362064756259;13.179150539674378;2.1495012007749557;0.0;0.0;0.004725;1.38262;0.0;-1.291;1.1547231036091787
39600;0.3239988708578696;0.1959037363231381;0.45772727789973183;0.1375474077082139;0.6124871338026542;0.018986917303096432;0.13355203856584497;0.1306900916993492;0.2028563126533229;0.02861747157004175;2.1875879831199043;7.282354185126846;13.216080756587342;2.213749786813221;0.0;0.0;0.0052510000000000005;1.310095;0.0;-1.23;1.1641201301622388
43200;0.2967334559376298;0.2396070754114439;0.444233157656463;0.1389376616989881;0.6070145600282774;0.025170677055609582;0.12424172490513084;0.14257211612596113;0.19895675898700327;0.025860795513561022;2.4922140528305072;8.307438811396914;12.517437068162497;2.217467187806507;0.0;0.0;0.004873000000000001;1.244178;0.0;-1.258;1.159806740924772
46800;0.3494279589377942;0.23776996166299735;0.49381790186087093;0.17686171088286654;0.5232573089316562;0.018067538126387537;0.1445272659609729;0.1441253134447248;0.17010705980580976;0.02612316508712854;2.5120507750939804;8.200471472290367;12.751219197502726;2.2579620196140806;0.0;0.0;0.006281;1.182899;0.0;-1.461;1.1285346689530655
50400;0.3524098831517516;0.23014213123011784;0.5182844129961434;0.11553280091659048;0.4567276298647998;0.023931690064152616;0.15515123109423445;0.14750759124972662;0.1936828910132892;0.027615328783407445;2.1751366871771776;8.054746578734115;12.840625510084495;2.1933702615808057;0.0;0.0;0.010931;1.122825;0.0;-1.302;1.1530285578373023
54000;0.3222929840610723;0.23776904186101697;0.4767797266504423;0.15126196276895565;0.4579529437644787;0.03873439351732033;0.14759694256121847;0.14848487842721525;0.18098755717580545;0.03088778690376564;2.295815331940171;8.218359299706384;12.835648250937126;2.1618604307875255;0.0;0.0;0.014085;1.080229;0.0;-1.621;1.1038867304531976
57600;0.29602984637343893;0.20721267307291533;0.3699466889192953;0.13761745153025312;0.45212207403201277;0.045717473167872946;0.12636424805794477;0.12129839595206812;0.173539899038718;0.0308014662037005;2.3284389142005155;8.034035497856262;11.328402310754687;1.9298487501445194;0.0;0.0;0.020919;1.072339;0.0;-1.77;1.0809333377251988
61200;0.2760818529680254;0.20026868881634421;0.40904147524668377;0.15774001131318297;0.5024091958712438;0.06028009838381673;0.11825656244656699;0.10966949924401406;0.19116637200449066;0.029104826984171942;2.474036515774143;8.33182408298681;11.417112949177913;2.0249137562943686;0.0;0.0;0.026135000000000002;1.121699;0.0;-1.62;1.1040407800688286
64800;0.2636665863198136;0.235412551087195;0.3839495377766179;0.22562877387541064;0.5476464462730255;0.09688270412437375;0.12894827208852985;0.11235774713108909;0.2048567940190732;0.025950032435074256;2.531754285235653;8.341139292929396;12.357208883175597;2.1993494126951285;0.0;0.0;0.030921;1.2169729999999999;0.0;-1.612;1.105273176993819
68400;0.1971759221467429;0.20975571567873466;0.27332418502635347;0.46733934098733143;0.5441989519761636;0.10167985244940425;0.12622574591424165;0.0846283922181908;0.18218840817750123;0.029471654619621247;2.147258235165772;7.662276975965659;10.975025458000218;2.1865165145746643;0.0;0.0;0.042073;1.237607;0.0;-1.841;1.0699958150159006
72000;0.15221146134420505;0.24284356664496087;0.20182898260768492;0.5306873409853925;0.5074946972266541;0.10096482203063198;0.13222105749357838;0.0581803694051822;0.16405045327963474;0.029373126275639483;2.1870944597566;7.7583569217548245;11.370097126969531;2.090482751017925;0.0;0.0;0.060968;1.179;0.0;-2.19;1.0162324991630811
75600;0.10277634439158984;0.2551826929498995;0.1496069178740521;0.5029527009850319;0.22475771864641575;0.09228693344455362;0.15058300388840734;0.04229103839751037;0.18152674806418825;0.026445132627509547;2.5208217782559244;8.009801026273387;11.436077227993968;1.7019640986416484;0.0;0.0;0.076914;1.1415170000000001;0.0;-2.828;1.0
79200;0.06980534340332172;0.22887436052320365;0.1036404300465001;0.28461672187429043;0.060781640730040776;0.03912795557524593;0.125056746028417;0.02975226562004079;0.14244323811639986;0.029747332828394354;2.207403393702108;7.144032308367497;11.279230936124314;1.0840987019174602;0.0;0.0;0.09736700000000001;1.1684;0.0;-3.853;1.0
82800;0.07352628246337721;0.22132919682278956;0.09683378847018737;0.1186941930651154;0.06242090735428002;0.018184446134470747;0.116718764737168;0.030044266468292315;0.08482030847619373;0.027347993541857175;2.5496777059216567;7.353033501966552;12.115043177506458;0.8225721539918743;0.0;0.0;0.110276;1.201054;0.0;-4.598;1.0
86400;0.06533902193600921;0.18114061197121248;0.10251949820022328;0.06557361970092701;0.05669991084366697;0.010417462102762533;0.11433060779892179;0.02892060728371957;0.04250986918837502;0.030046720968537218;2.3970170660497767;7.519155688612273;12.05914747402411;0.6674512090258179;0.0;0.0;0.11473699999999999;1.211493;0.0;-4.594;1.0
90000;0.07610402522888075;0.21182549187500593;0.0994099850303925;0.049114877434368855;0.05482891573666508;0.005326432449730884;0.11324420507546043;0.032496662575623905;0.019902428182403432;0.0284195106791612;2.431566005162286;8.502917400153683;11.546640406417868;0.6622530235885318;0.0;0.0;0.11341;1.257925;0.0;-4.342;1.0
93600;0.06627643329654445;0.20925546213147314;0.108132601846677;0.02794662787969187;0.05487612957818258;0.008270669135350753;0.11937604151013266;0.02877519279688548;0.02128781171341002;0.027336810867391453;2.3810111174751842;7.360903815383511;12.941000923028556;0.6441969698883478;0.0;0.0;0.114581;1.295097;0.0;-4.18;1.0
97200;0.06824511352406262;0.21743935207969467;0.09249885877223178;0.023319991559529418;0.06217393816490341;0.006712789884282524;0.1273967576375811;0.029902342199086343;0.021467417058633743;0.028533254287900555;2.5908560523110165;8.107794244468742;11.506180875214067;0.6491565608800056;0.0;0.0;0.113187;1.318614;0.0;-4.439;1.0
100800;0.07134202444510544;0.19027630315953778;0.0973052777670021;0.11104457597612319;0.2252491819682139;0.02019191397232911;0.12123662365569947;0.03242640921409551;0.05794672021989026;0.02958879203931503;2.5433802431133143;8.434463480210262;11.987671103144836;0.9270190303779966;0.0;0.0;0.109758;1.3328250000000001;0.0;-5.007;1.0
104400;0.14863498316705726;0.2470358362540269;0.20489362490469326;0.3707798358405412;0.5685288487223371;0.0297919865697163;0.14576629505909064;0.0630200277650686;0.16277833747651155;0.03028140004050928;2.5217738675247894;7.6865116178987725;12.719567425684694;1.9412297757590427;0.0;0.0;0.105549;1.355645;0.0;-5.593;1.0
108000;0.21893932774731278;0.23422702995241143;0.30559114811347127;0.5502337526213892;0.6040433854879533;0.04525559715385834;0.16062885053935233;0.08568845644067158;0.18367181312354916;0.02732406217408857;2.4248178225726864;7.201959539782543;11.122346636024085;2.3882793611799698;0.0;0.0;0.099512;1.407289;0.0;-6.141;1.0
111600;0.25493967023357117;0.25751350888188546;0.43384178891364994;0.24212243592328067;0.4904575590906706;0.024487663552865725;0.1372159977507795;0.11569191770642308;0.2133777340861464;0.026493785565844138;2.1825483600865057;8.606997429170429;12.426622963535772;2.1696482761392724;0.0;0.0;0.090057;1.492133;0.0;-6.66;1.0
115200;0.2773587431464015;0.21443639152638258;0.3963580721528026;0.11468692239533895;0.435660992779715;0.01866657194200748;0.13931009404257838;0.11976666680114359;0.17782464152484473;0.03098615753927879;2.437907738925933;7.660081751360432;11.593628630865645;1.894069096311215;0.0;0.0;0.081313;1.557502;0.0;-7.237;1.0
118800;0.28632957949796134;0.21341980234189073;0.44295635758965785;0.09435500027200693;0.4135445931116976;0.013572004234032738;0.12042416242809342;0.1251341635206363;0.1743441070888461;0.025980226829082406;2.158050456596517;7.1190332489958;12.330481770399734;1.884079770084823;2.657e-06;7.514012771276506e-06;0.073122;1.5919459999999999;0.0;-7.868;1.0
122400;0.3297693657565341;0.21813812865992335;0.47044468462874633;0.10202485633181872;0.4375962971921462;0.02189301338734566;0.1448495688082375;0.16417193951370815;0.19341136855819813;0.029062859620014047;2.338989332190086;7.9833448806272065;13.239227649287862;2.082299222836658;2.2995000000000003e-05;6.503000514697149e-05;0.067099;1.589405;0.0;-8.385;1.0
126000;0.33009034838931506;0.21458136302823466;0.4728204125732649;0.14370402146040312;0.5801050633640519;0.021296960348873965;0.11500956026265018;0.15577134957121447;0.19247453040569693;0.028996976629745833;2.197803143031543;8.129428496392089;13.202809562589664;2.225853609403705;3.9736e-05;0.00011237365881800647;0.062674;1.560752;0.0;-8.755;1.0
129600;0.2840369570396321;0.22574549487650708;0.47375485035345627;0.1603112498036548;0.5602096871593643;0.02133564235045325;0.1402281489577872;0.14258618124949998;0.1877524705084143;0.027376815436600796;2.583910870534638;8.326677107723215;11.137614387637019;2.195960682298769;2.7402e-05;7.749302896444065e-05;0.057866999999999995;1.5322799999999999;0.0;-9.005;1.0
133200;0.3441300200509824;0.2463299541945788;0.43671462552278456;0.1614193395741664;0.4573726882683711;0.019855243425881373;0.15269095155203455;0.1404323821750882;0.18925775458053112;0.0268760791738072;2.336612102178052;7.548594475866128;11.761926520371624;2.148202959344418;3.846e-06;1.0876512276375402e-05;0.055341999999999995;1.502138;0.0;-9.217;1.0
136800;0.30324404856587867;0.23627215175981264;0.4618750711892542;0.12433754320683686;0.3804433285880196;0.02696358401872203;0.15255573749079454;0.15421816514216896;0.19624454619053125;0.027699814934714136;2.5479362444405838;8.379651219811755;11.634955228828222;2.0361541761520185;0.0;0.0;0.052732999999999995;1.4663320000000002;0.0;-9.368;1.0
140400;0.3502454928105943;0.20342855525525075;0.514100321412687;0.14556461230412956;0.43280077828053143;0.04115180581781559;0.1411869410958017;0.14384581919225736;0.19812439397910644;0.02883901951509948;2.288247487175706;7.8433782463133355;12.655581447867348;2.1704487201481744;0.0;0.0;0.049036;1.446857;0.0;-9.371;1.0
144000;0.30434946631159604;0.2290828995608416;0.3776858969225476;0.1262280367070579;0.5086695707100709;0.046452880113210054;0.12961333270146086;0.12543634773840318;0.19504863683101406;0.02908306623770957;2.2098321494368522;7.278383810069951;12.458614335110513;2.042567067596202;0.0;0.0;0.045563;1.469111;0.0;-9.307;1.0
147600;0.2904153523547456;0.19362111204714214;0.42838320263220964;0.1547656540743846;0.5708310108312309;0.05676528807946923;0.12316808076922443;0.11828941708927358;0.20840917828000893;0.029188566662020184;2.464226841163845;7.224401746154939;12.211192534129252;2.144648296157689;0.0;0.0;0.041691000000000006;1.567605;0.0;-9.358;1.0
151200;0.25135845068115564;0.20807784225390624;0.326196030106856;0.22414858247748903;0.5420385225266265;0.08863115255230947;0.12526807780131202;0.10244610940858978;0.19243629464324427;0.030750255369853728;2.244732995707417;7.449540882232474;11.239013537156367;2.0606010624514886;0.0;0.0;0.034968000000000006;1.73028;0.0;-9.648;1.0
154800;0.22104126992150522;0.2211120650694708;0.31111165542013175;0.46867169352128224;0.6167481697465165;0.10200495817666835;0.13376594933782057;0.08640950832987226;0.20153135525867996;0.029666475215162733;2.5432119671898255;8.035755450596376;11.697046060511623;2.3623966247819475;0.0;0.0;0.031268000000000004;1.785464;0.0;-10.135;1.0
158400;0.12801403148949617;0.2402705783361909;0.20006007362907371;0.5878544134927957;0.4462939902566328;0.10393348433300112;0.1369501318209866;0.06327742115014869;0.19640215989940146;0.029932230109283454;2.2407160209858175;8.262230528519016;13.332745448061845;2.103056284407727;0.0;0.0;0.026241;1.721474;0.0;-10.735;1.0
162000;0.10663971407392804;0.21203414299488899;0.14589846949635377;0.5273897865742757;0.2256491817772105;0.09124179233884339;0.1456732753624361;0.04166995455867556;0.18447148248816903;0.02768208012845637;2.2976747562840796;7.183396084214268;12.650843716953483;1.6806677996647812;0.0;0.0;0.021788000000000002;1.682703;0.0;-11.547;1.0
165600;0.06546099827831912;0.22732851363283227;0.09670266151268542;0.27099284423320835;0.05486783783120377;0.04383951157513983;0.13710121604307235;0.02893602426848483;0.13996810258655187;0.02718558424230354;2.4796350825621407;7.6589936540103585;11.787578688001823;1.0651977099614978;0.0;0.0;0.02053;1.734657;0.0;-12.093;1.0
169200;0.0731738486032361;0.21469011327455179;0.10123745997587172;0.11165500183292493;0.056456411223541225;0.02008109923642952;0.12478506809335116;0.0321398297239026;0.08102674386532724;0.026246262298977408;2.1493584831161217;7.968778873177627;12.748275626542368;0.8152455758291363;0.0;0.0;0.018631;1.791776;0.0;-12.603;1.0
172800;0.07216560267878201;0.1857728408643175;0.10647272249895788;0.06380874600039516;0.061421537146705646;0.009571714651292293;0.11840950681181729;0.03095323040968474;0.03791821194614651;0.030783311676285677;2.415141470136136;7.851000180717367;11.912045766957213;0.6864941130080991;0.0;0.0;0.017796;1.812127;0.0;-13.145;1.0
176400;0.07468943919539126;0.2114948345475593;0.1019426697086354;0.05108808649058714;0.054573056049976455;0.004844032178684608;0.11500577814988348;0.03222147935801282;0.019315711794199844;0.026340482969608843;2.39454688910116;7.599693934840412;11.145521628844303;0.6651750874729303;0.0;0.0;0.016324;1.882622;0.0;-13.64;1.0
180000;0.07639242799559172;0.21346721066626018;0.10412270358474406;0.029821058720577786;0.06274034600551666;0.008080326278329306;0.12465238725261082;0.03213592362924514;0.018095513536474934;0.02993906768181374;2.158426046786736;7.8571007212919906;11.494086556021761;0.6695078976693506;0.0;0.0;0.01439;1.9355;0.0;-14.153;1.0
183600;0.06807117888189936;0.20843328797119695;0.09359689038045214;0.02376820967013367;0.058976321923399;0.007622107807672385;0.10998917317724756;0.027861640954436974;0.01981747701331865;0.02742036465245353;2.4425616533335623;7.67558500276205;11.680799330675182;0.6181362877797567;0.0;0.0;0.013164;1.9641710000000001;0.0;-14.778;1.0
187200;0.0631309865765493;0.20028869880691638;0.10461395875133796;0.12799341770631226;0.23266184528942102;0.021780636917690138;0.11698188643968122;0.031243134583903584;0.05744080642339403;0.028072772395746508;2.1617845040247534;7.958822520375914;11.697289910947488;0.9561353714952059;0.0;0.0;0.012877000000000001;1.97533;0.0;-15.307;1.0
190800;0.15206479559153493;0.20592160803637494;0.1857127404977517;0.3903794416156412;0.5212330491069127;0.030479703710634683;0.1469509143670507;0.05884800300530814;0.1452440531413163;0.030891132548048393;2.2479829542258902;8.067036511309484;11.265745805187064;1.8368343090725252;0.0;0.0;0.01151;1.9957;0.0;-15.807;1.0
194400;0.20488121099581932;0.27109949207165573;0.2857312467336319;0.5215283327994537;0.589850096450226;0.04901779070205531;0.13815652878770052;0.08344209869576105;0.20402043430443403;0.02861029604278449;2.439550406908586;7.309497707644617;11.861601378984455;2.3477272315407376;0.0;0.0;0.009519;2.054635;0.0;-16.357;1.0
198000;0.2632074513954482;0.24950321619633073;0.38860600114358973;0.24719816184500434;0.4658480458368696;0.025943752979032432;0.13900659380647232;0.1311365051756038;0.2082779822138957;0.02782977148137232;2.4643801288474374;7.5191960001178515;11.15686889430498;2.118727710592247;0.0;0.0;0.007887;2.157338;0.0;-16.996;1.0
201600;0.29779393994649206;0.23570509349624869;0.4088979027589481;0.12051105870428146;0.49889472190757295;0.02158072588210935;0.1325555256516016;0.13369129302150215;0.19702664525445548;0.0310017039092763;2.1286265612978608;7.99476217823099;11.791625118488678;2.0466569066232116;0.0;0.0;0.006842;2.226852;0.0;-17.891;1.0
205200;0.3174271164073432;0.2062740670927055;0.4700706204902324;0.09393698963973804;0.3921503600235068;0.01619908290280234;0.13326832243953252;0.12713886737236962;0.19311368321337719;0.02612230955979162;2.47214926180757;7.514828778726346;12.912483799626768;1.9495791095816077;2.661e-06;7.525324796524946e-06;0.005699;2.247846;0.0;-18.841;1.0
