# Renewables.ninja Heating & cooling demand (Point API) - 52.072, 5.746 - Version: 1.0 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1038/s41560-023-01341-5
# Units: time in UTC, local_time in Europe/Amsterdam, total_demand in unknown, heating_demand in unknown, cooling_demand in unknown
# {"units": {"time": "UTC", "local_time": "Europe/Amsterdam", "total_demand": "unknown", "heating_demand": "unknown", "cooling_demand": "unknown"}, "params": {"local_time": "true", "header": "true", "lat": "52.07168255", "lon": "5.745510631034939", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "heating_threshold": "14", "cooling_threshold": "20", "base_power": "0", "heating_power": "500", "cooling_power": "500", "smoothing": "0.5", "solar_gains": "0.012", "wind_chill": "-0.2", "humidity_discomfort": "0.05", "use_diurnal_profile": "true"}}
time,local_time,total_demand,heating_demand,cooling_demand
2019-01-01 00:00,2019-01-01 01:00,2765.484,2765.484,0
2019-01-01 01:00,2019-01-01 02:00,2843.920,2843.920,0
2019-01-01 02:00,2019-01-01 03:00,2888.666,2888.666,0
2019-01-01 03:00,2019-01-01 04:00,2909.676,2909.676,0
2019-01-01 04:00,2019-01-01 05:00,2946.429,2946.429,0
2019-01-01 05:00,2019-01-01 06:00,3042.674,3042.674,0
2019-01-01 06:00,2019-01-01 07:00,3207.001,3207.001,0
2019-01-01 07:00,2019-01-01 08:00,3325.745,3325.745,0
2019-01-01 08:00,2019-01-01 09:00,3375.630,3375.630,0
2019-01-01 09:00,2019-01-01 10:00,3345.573,3345.573,0
2019-01-01 10:00,2019-01-01 11:00,3260.353,3260.353,0
2019-01-01 11:00,2019-01-01 12:00,3176.062,3176.062,0
2019-01-01 12:00,2019-01-01 13:00,3089.180,3089.180,0
2019-01-01 13:00,2019-01-01 14:00,2991.881,2991.881,0
2019-01-01 14:00,2019-01-01 15:00,2929.167,2929.167,0
2019-01-01 15:00,2019-01-01 16:00,2951.463,2951.463,0
2019-01-01 16:00,2019-01-01 17:00,3125.850,3125.850,0
2019-01-01 17:00,2019-01-01 18:00,3425.362,3425.362,0
2019-01-01 18:00,2019-01-01 19:00,3510.212,3510.212,0
2019-01-01 19:00,2019-01-01 20:00,3362.252,3362.252,0
2019-01-01 20:00,2019-01-01 21:00,3266.334,3266.334,0
2019-01-01 21:00,2019-01-01 22:00,3348.000,3348.000,0
2019-01-01 22:00,2019-01-01 23:00,3440.234,3440.234,0
2019-01-01 23:00,2019-01-02 00:00,3463.029,3463.029,0
2019-01-02 00:00,2019-01-02 01:00,3582.957,3582.957,0
2019-01-02 01:00,2019-01-02 02:00,3670.682,3670.682,0
2019-01-02 02:00,2019-01-02 03:00,3714.393,3714.393,0
2019-01-02 03:00,2019-01-02 04:00,3727.336,3727.336,0
2019-01-02 04:00,2019-01-02 05:00,3760.241,3760.241,0
2019-01-02 05:00,2019-01-02 06:00,3868.506,3868.506,0
2019-01-02 06:00,2019-01-02 07:00,4062.165,4062.165,0
2019-01-02 07:00,2019-01-02 08:00,4196.824,4196.824,0
2019-01-02 08:00,2019-01-02 09:00,4243.872,4243.872,0
2019-01-02 09:00,2019-01-02 10:00,4190.405,4190.405,0
2019-01-02 10:00,2019-01-02 11:00,4068.465,4068.465,0
2019-01-02 11:00,2019-01-02 12:00,3948.550,3948.550,0
2019-01-02 12:00,2019-01-02 13:00,3826.280,3826.280,0
2019-01-02 13:00,2019-01-02 14:00,3692.028,3692.028,0
2019-01-02 14:00,2019-01-02 15:00,3601.254,3601.254,0
2019-01-02 15:00,2019-01-02 16:00,3615.246,3615.246,0
2019-01-02 16:00,2019-01-02 17:00,3814.707,3814.707,0
2019-01-02 17:00,2019-01-02 18:00,4164.793,4164.793,0
2019-01-02 18:00,2019-01-02 19:00,4252.220,4252.220,0
2019-01-02 19:00,2019-01-02 20:00,4057.972,4057.972,0
2019-01-02 20:00,2019-01-02 21:00,3927.687,3927.687,0
2019-01-02 21:00,2019-01-02 22:00,4011.066,4011.066,0
2019-01-02 22:00,2019-01-02 23:00,4106.396,4106.396,0
2019-01-02 23:00,2019-01-03 00:00,4118.393,4118.393,0
2019-01-03 00:00,2019-01-03 01:00,4245.335,4245.335,0
2019-01-03 01:00,2019-01-03 02:00,4333.268,4333.268,0
2019-01-03 02:00,2019-01-03 03:00,4368.721,4368.721,0
2019-01-03 03:00,2019-01-03 04:00,4367.791,4367.791,0
2019-01-03 04:00,2019-01-03 05:00,4390.103,4390.103,0
2019-01-03 05:00,2019-01-03 06:00,4499.834,4499.834,0
2019-01-03 06:00,2019-01-03 07:00,4707.640,4707.640,0
2019-01-03 07:00,2019-01-03 08:00,4845.699,4845.699,0
2019-01-03 08:00,2019-01-03 09:00,4881.863,4881.863,0
2019-01-03 09:00,2019-01-03 10:00,4802.464,4802.464,0
2019-01-03 10:00,2019-01-03 11:00,4645.369,4645.369,0
2019-01-03 11:00,2019-01-03 12:00,4491.641,4491.641,0
2019-01-03 12:00,2019-01-03 13:00,4336.286,4336.286,0
2019-01-03 13:00,2019-01-03 14:00,4168.452,4168.452,0
