# Renewables.ninja Heating & cooling demand (Point API) - 46.054, 14.437 - Version: 1.0 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1038/s41560-023-01341-5
# Units: time in UTC, local_time in Europe/Ljubljana, total_demand in unknown, heating_demand in unknown, cooling_demand in unknown
# {"units": {"time": "UTC", "local_time": "Europe/Ljubljana", "total_demand": "unknown", "heating_demand": "unknown", "cooling_demand": "unknown"}, "params": {"local_time": "true", "header": "true", "lat": "46.0535441584832", "lon": "14.436803866882109", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "heating_threshold": "14", "cooling_threshold": "20", "base_power": "0", "heating_power": "900", "cooling_power": "1000", "smoothing": "0.5", "solar_gains": "0.012", "wind_chill": "-0.2", "humidity_discomfort": "0.05", "use_diurnal_profile": "true"}}
time,local_time,total_demand,heating_demand,cooling_demand
2019-01-01 00:00,2019-01-01 01:00,11604.058,11604.058,0
2019-01-01 01:00,2019-01-01 02:00,11630.634,11630.634,0
2019-01-01 02:00,2019-01-01 03:00,11523.525,11523.525,0
2019-01-01 03:00,2019-01-01 04:00,11331.653,11331.653,0
2019-01-01 04:00,2019-01-01 05:00,11211.580,11211.580,0
2019-01-01 05:00,2019-01-01 06:00,11321.718,11321.718,0
2019-01-01 06:00,2019-01-01 07:00,11679.050,11679.050,0
2019-01-01 07:00,2019-01-01 08:00,11863.570,11863.570,0
2019-01-01 08:00,2019-01-01 09:00,11804.989,11804.989,0
2019-01-01 09:00,2019-01-01 10:00,11479.722,11479.722,0
2019-01-01 10:00,2019-01-01 11:00,10986.006,10986.006,0
2019-01-01 11:00,2019-01-01 12:00,10518.178,10518.178,0
2019-01-01 12:00,2019-01-01 13:00,10063.062,10063.062,0
2019-01-01 13:00,2019-01-01 14:00,9594.495,9594.495,0
2019-01-01 14:00,2019-01-01 15:00,9254.728,9254.728,0
2019-01-01 15:00,2019-01-01 16:00,9194.849,9194.849,0
2019-01-01 16:00,2019-01-01 17:00,9609.557,9609.557,0
2019-01-01 17:00,2019-01-01 18:00,10399.286,10399.286,0
2019-01-01 18:00,2019-01-01 19:00,10532.204,10532.204,0
2019-01-01 19:00,2019-01-01 20:00,9977.563,9977.563,0
2019-01-01 20:00,2019-01-01 21:00,9593.451,9593.451,0
2019-01-01 21:00,2019-01-01 22:00,9739.193,9739.193,0
2019-01-01 22:00,2019-01-01 23:00,9918.438,9918.438,0
2019-01-01 23:00,2019-01-02 00:00,9901.812,9901.812,0
2019-01-02 00:00,2019-01-02 01:00,10166.687,10166.687,0
2019-01-02 01:00,2019-01-02 02:00,10342.609,10342.609,0
2019-01-02 02:00,2019-01-02 03:00,10398.559,10398.559,0
2019-01-02 03:00,2019-01-02 04:00,10373.669,10373.669,0
2019-01-02 04:00,2019-01-02 05:00,10409.607,10409.607,0
2019-01-02 05:00,2019-01-02 06:00,10657.928,10657.928,0
2019-01-02 06:00,2019-01-02 07:00,11143.294,11143.294,0
2019-01-02 07:00,2019-01-02 08:00,11468.554,11468.554,0
2019-01-02 08:00,2019-01-02 09:00,11557.856,11557.856,0
2019-01-02 09:00,2019-01-02 10:00,11378.450,11378.450,0
2019-01-02 10:00,2019-01-02 11:00,11019.059,11019.059,0
2019-01-02 11:00,2019-01-02 12:00,10670.950,10670.950,0
2019-01-02 12:00,2019-01-02 13:00,10321.636,10321.636,0
2019-01-02 13:00,2019-01-02 14:00,9944.618,9944.618,0
2019-01-02 14:00,2019-01-02 15:00,9688.659,9688.659,0
2019-01-02 15:00,2019-01-02 16:00,9717.635,9717.635,0
2019-01-02 16:00,2019-01-02 17:00,10247.395,10247.395,0
2019-01-02 17:00,2019-01-02 18:00,11183.640,11183.640,0
2019-01-02 18:00,2019-01-02 19:00,11416.731,11416.731,0
2019-01-02 19:00,2019-01-02 20:00,10895.864,10895.864,0
2019-01-02 20:00,2019-01-02 21:00,10548.675,10548.675,0
2019-01-02 21:00,2019-01-02 22:00,10777.126,10777.126,0
2019-01-02 22:00,2019-01-02 23:00,11039.565,11039.565,0
2019-01-02 23:00,2019-01-03 00:00,11079.617,11079.617,0
2019-01-03 00:00,2019-01-03 01:00,11430.501,11430.501,0
2019-01-03 01:00,2019-01-03 02:00,11677.991,11677.991,0
2019-01-03 02:00,2019-01-03 03:00,11785.343,11785.343,0
2019-01-03 03:00,2019-01-03 04:00,11795.438,11795.438,0
2019-01-03 04:00,2019-01-03 05:00,11868.980,11868.980,0
2019-01-03 05:00,2019-01-03 06:00,12179.719,12179.719,0
2019-01-03 06:00,2019-01-03 07:00,12757.193,12757.193,0
2019-01-03 07:00,2019-01-03 08:00,13146.874,13146.874,0
2019-01-03 08:00,2019-01-03 09:00,13260.578,13260.578,0
2019-01-03 09:00,2019-01-03 10:00,13059.981,13059.981,0
2019-01-03 10:00,2019-01-03 11:00,12646.928,12646.928,0
2019-01-03 11:00,2019-01-03 12:00,12241.524,12241.524,0
2019-01-03 12:00,2019-01-03 13:00,11830.068,11830.068,0
2019-01-03 13:00,2019-01-03 14:00,11382.915,11382.915,0
2019-01-03 14:00,2019-01-03 15:00,11071.066,11071.066,0
2019-01-03 15:00,2019-01-03 16:00,11081.429,11081.429,0
2019-01-03 16:00,2019-01-03 17:00,11657.946,11657.946,0
2019-01-03 17:00,2019-01-03 18:00,12689.473,12689.473,0
2019-01-03 18:00,2019-01-03 19:00,12916.558,12916.558,0
2019-01-03 19:00,2019-01-03 20:00,12289.042,12289.042,0
2019-01-03 20:00,2019-01-03 21:00,11858.400,11858.400,0
2019-01-03 21:00,2019-01-03 22:00,12073.600,12073.600,0
2019-01-03 22:00,2019-01-03 23:00,12323.622,12323.622,0
2019-01-03 23:00,2019-01-04 00:00,12323.201,12323.201,0
2019-01-04 00:00,2019-01-04 01:00,12666.272,12666.272,0
2019-01-04 01:00,2019-01-04 02:00,12892.027,12892.027,0
2019-01-04 02:00,2019-01-04 03:00,12961.690,12961.690,0
2019-01-04 03:00,2019-01-04 04:00,12924.345,12924.345,0
2019-01-04 04:00,2019-01-04 05:00,12956.965,12956.965,0
2019-01-04 05:00,2019-01-04 06:00,13248.128,13248.128,0
2019-01-04 06:00,2019-01-04 07:00,13827.473,13827.473,0
2019-01-04 07:00,2019-01-04 08:00,14201.523,14201.523,0
2019-01-04 08:00,2019-01-04 09:00,14277.915,14277.915,0
2019-01-04 09:00,2019-01-04 10:00,14018.800,14018.800,0
2019-01-04 10:00,2019-01-04 11:00,13536.486,13536.486,0
2019-01-04 11:00,2019-01-04 12:00,13067.912,13067.912,0
2019-01-04 12:00,2019-01-04 13:00,12598.404,12598.404,0
2019-01-04 13:00,2019-01-04 14:00,12096.318,12096.318,0
2019-01-04 14:00,2019-01-04 15:00,11742.611,11742.611,0
2019-01-04 15:00,2019-01-04 16:00,11733.746,11733.746,0
2019-01-04 16:00,2019-01-04 17:00,12325.519,12325.519,0
2019-01-04 17:00,2019-01-04 18:00,13397.758,13397.758,0
2019-01-04 18:00,2019-01-04 19:00,13620.424,13620.424,0
2019-01-04 19:00,2019-01-04 20:00,12943.567,12943.567,0
2019-01-04 20:00,2019-01-04 21:00,12476.075,12476.075,0
2019-01-04 21:00,2019-01-04 22:00,12688.656,12688.656,0
2019-01-04 22:00,2019-01-04 23:00,12937.266,12937.266,0
2019-01-04 23:00,2019-01-05 00:00,12922.268,12922.268,0
2019-01-05 00:00,2019-01-05 01:00,13266.254,13266.254,0
2019-01-05 01:00,2019-01-05 02:00,13485.459,13485.459,0
2019-01-05 02:00,2019-01-05 03:00,13539.405,13539.405,0
2019-01-05 03:00,2019-01-05 04:00,13479.567,13479.567,0
2019-01-05 04:00,2019-01-05 05:00,13490.367,13490.367,0
2019-01-05 05:00,2019-01-05 06:00,13766.999,13766.999,0
2019-01-05 06:00,2019-01-05 07:00,14338.070,14338.070,0
2019-01-05 07:00,2019-01-05 08:00,14690.354,14690.354,0
2019-01-05 08:00,2019-01-05 09:00,14729.414,14729.414,0
2019-01-05 09:00,2019-01-05 10:00,14418.362,14418.362,0
2019-01-05 10:00,2019-01-05 11:00,13875.346,13875.346,0
2019-01-05 11:00,2019-01-05 12:00,13344.806,13344.806,0
2019-01-05 12:00,2019-01-05 13:00,12811.856,12811.856,0
2019-01-05 13:00,2019-01-05 14:00,12244.884,12244.884,0
2019-01-05 14:00,2019-01-05 15:00,11827.696,11827.696,0
2019-01-05 15:00,2019-01-05 16:00,11755.880,11755.880,0
2019-01-05 16:00,2019-01-05 17:00,12279.356,12279.356,0
2019-01-05 17:00,2019-01-05 18:00,13269.158,13269.158,0
2019-01-05 18:00,2019-01-05 19:00,13407.611,13407.611,0
2019-01-05 19:00,2019-01-05 20:00,12661.731,12661.731,0
2019-01-05 20:00,2019-01-05 21:00,12126.744,12126.744,0
2019-01-05 21:00,2019-01-05 22:00,12254.006,12254.006,0
2019-01-05 22:00,2019-01-05 23:00,12413.393,12413.393,0
2019-01-05 23:00,2019-01-06 00:00,12319.194,12319.194,0
2019-01-06 00:00,2019-01-06 01:00,12566.610,12566.610,0
2019-01-06 01:00,2019-01-06 02:00,12694.444,12694.444,0
2019-01-06 02:00,2019-01-06 03:00,12667.731,12667.731,0
2019-01-06 03:00,2019-01-06 04:00,12537.799,12537.799,0
2019-01-06 04:00,2019-01-06 05:00,12477.630,12477.630,0
2019-01-06 05:00,2019-01-06 06:00,12666.301,12666.301,0
2019-01-06 06:00,2019-01-06 07:00,13126.996,13126.996,0
2019-01-06 07:00,2019-01-06 08:00,13389.245,13389.245,0
2019-01-06 08:00,2019-01-06 09:00,13371.096,13371.096,0
2019-01-06 09:00,2019-01-06 10:00,13043.304,13043.304,0
2019-01-06 10:00,2019-01-06 11:00,12515.908,12515.908,0
2019-01-06 11:00,2019-01-06 12:00,12010.444,12010.444,0
2019-01-06 12:00,2019-01-06 13:00,11513.132,11513.132,0
2019-01-06 13:00,2019-01-06 14:00,10995.000,10995.000,0
2019-01-06 14:00,2019-01-06 15:00,10619.713,10619.713,0
2019-01-06 15:00,2019-01-06 16:00,10561.697,10561.697,0
2019-01-06 16:00,2019-01-06 17:00,11045.738,11045.738,0
2019-01-06 17:00,2019-01-06 18:00,11957.990,11957.990,0
2019-01-06 18:00,2019-01-06 19:00,12111.480,12111.480,0
2019-01-06 19:00,2019-01-06 20:00,11470.573,11470.573,0
2019-01-06 20:00,2019-01-06 21:00,11022.432,11022.432,0
