# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 52.072, 5.746 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Amsterdam, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Amsterdam", "electricity": "kW"}, "params": {"local_time": "true", "header": "true", "lat": "52.07168255", "lon": "5.745510631034939", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "250", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "false"}}
time,local_time,electricity
2019-01-01 00:00,2019-01-01 01:00,0
2019-01-01 01:00,2019-01-01 02:00,0
2019-01-01 02:00,2019-01-01 03:00,0
2019-01-01 03:00,2019-01-01 04:00,0
2019-01-01 04:00,2019-01-01 05:00,0
2019-01-01 05:00,2019-01-01 06:00,0
2019-01-01 06:00,2019-01-01 07:00,0
2019-01-01 07:00,2019-01-01 08:00,0
2019-01-01 08:00,2019-01-01 09:00,0.022
2019-01-01 09:00,2019-01-01 10:00,7.308
2019-01-01 10:00,2019-01-01 11:00,39.299
2019-01-01 11:00,2019-01-01 12:00,95.360
2019-01-01 12:00,2019-01-01 13:00,93.218
2019-01-01 13:00,2019-01-01 14:00,58.163
2019-01-01 14:00,2019-01-01 15:00,17.730
2019-01-01 15:00,2019-01-01 16:00,0.127
2019-01-01 16:00,2019-01-01 17:00,0
2019-01-01 17:00,2019-01-01 18:00,0
2019-01-01 18:00,2019-01-01 19:00,0
2019-01-01 19:00,2019-01-01 20:00,0
2019-01-01 20:00,2019-01-01 21:00,0
2019-01-01 21:00,2019-01-01 22:00,0
2019-01-01 22:00,2019-01-01 23:00,0
2019-01-01 23:00,2019-01-02 00:00,0
2019-01-02 00:00,2019-01-02 01:00,0
2019-01-02 01:00,2019-01-02 02:00,0
2019-01-02 02:00,2019-01-02 03:00,0
2019-01-02 03:00,2019-01-02 04:00,0
2019-01-02 04:00,2019-01-02 05:00,0
2019-01-02 05:00,2019-01-02 06:00,0
2019-01-02 06:00,2019-01-02 07:00,0
2019-01-02 07:00,2019-01-02 08:00,0
2019-01-02 08:00,2019-01-02 09:00,22.975
2019-01-02 09:00,2019-01-02 10:00,67.323
2019-01-02 10:00,2019-01-02 11:00,96.238
2019-01-02 11:00,2019-01-02 12:00,105.138
2019-01-02 12:00,2019-01-02 13:00,96.155
2019-01-02 13:00,2019-01-02 14:00,74.599
2019-01-02 14:00,2019-01-02 15:00,32.196
2019-01-02 15:00,2019-01-02 16:00,0.451
2019-01-02 16:00,2019-01-02 17:00,0
2019-01-02 17:00,2019-01-02 18:00,0
2019-01-02 18:00,2019-01-02 19:00,0
2019-01-02 19:00,2019-01-02 20:00,0
2019-01-02 20:00,2019-01-02 21:00,0
2019-01-02 21:00,2019-01-02 22:00,0
2019-01-02 22:00,2019-01-02 23:00,0
2019-01-02 23:00,2019-01-03 00:00,0
2019-01-03 00:00,2019-01-03 01:00,0
2019-01-03 01:00,2019-01-03 02:00,0
2019-01-03 02:00,2019-01-03 03:00,0
2019-01-03 03:00,2019-01-03 04:00,0
2019-01-03 04:00,2019-01-03 05:00,0
2019-01-03 05:00,2019-01-03 06:00,0
2019-01-03 06:00,2019-01-03 07:00,0
2019-01-03 07:00,2019-01-03 08:00,0
2019-01-03 08:00,2019-01-03 09:00,8.241
2019-01-03 09:00,2019-01-03 10:00,24.331
2019-01-03 10:00,2019-01-03 11:00,45.126
2019-01-03 11:00,2019-01-03 12:00,60.793
2019-01-03 12:00,2019-01-03 13:00,49.168
2019-01-03 13:00,2019-01-03 14:00,25.063
2019-01-03 14:00,2019-01-03 15:00,9.517
2019-01-03 15:00,2019-01-03 16:00,0
2019-01-03 16:00,2019-01-03 17:00,0
2019-01-03 17:00,2019-01-03 18:00,0
2019-01-03 18:00,2019-01-03 19:00,0
2019-01-03 19:00,2019-01-03 20:00,0
2019-01-03 20:00,2019-01-03 21:00,0
2019-01-03 21:00,2019-01-03 22:00,0
2019-01-03 22:00,2019-01-03 23:00,0
2019-01-03 23:00,2019-01-04 00:00,0
2019-01-04 00:00,2019-01-04 01:00,0
2019-01-04 01:00,2019-01-04 02:00,0
2019-01-04 02:00,2019-01-04 03:00,0
2019-01-04 03:00,2019-01-04 04:00,0
2019-01-04 04:00,2019-01-04 05:00,0
2019-01-04 05:00,2019-01-04 06:00,0
2019-01-04 06:00,2019-01-04 07:00,0
2019-01-04 07:00,2019-01-04 08:00,0
2019-01-04 08:00,2019-01-04 09:00,4.417
2019-01-04 09:00,2019-01-04 10:00,21.081
2019-01-04 10:00,2019-01-04 11:00,24.794
2019-01-04 11:00,2019-01-04 12:00,25.907
2019-01-04 12:00,2019-01-04 13:00,19.913
2019-01-04 13:00,2019-01-04 14:00,10.054
2019-01-04 14:00,2019-01-04 15:00,2.514
2019-01-04 15:00,2019-01-04 16:00,0
2019-01-04 16:00,2019-01-04 17:00,0
2019-01-04 17:00,2019-01-04 18:00,0
2019-01-04 18:00,2019-01-04 19:00,0
2019-01-04 19:00,2019-01-04 20:00,0
2019-01-04 20:00,2019-01-04 21:00,0
2019-01-04 21:00,2019-01-04 22:00,0
2019-01-04 22:00,2019-01-04 23:00,0
2019-01-04 23:00,2019-01-05 00:00,0
2019-01-05 00:00,2019-01-05 01:00,0
2019-01-05 01:00,2019-01-05 02:00,0
2019-01-05 02:00,2019-01-05 03:00,0
2019-01-05 03:00,2019-01-05 04:00,0
2019-01-05 04:00,2019-01-05 05:00,0
2019-01-05 05:00,2019-01-05 06:00,0
2019-01-05 06:00,2019-01-05 07:00,0
2019-01-05 07:00,2019-01-05 08:00,0
2019-01-05 08:00,2019-01-05 09:00,4.525
2019-01-05 09:00,2019-01-05 10:00,14.025
2019-01-05 10:00,2019-01-05 11:00,17.244
2019-01-05 11:00,2019-01-05 12:00,16.516
2019-01-05 12:00,2019-01-05 13:00,13.514
2019-01-05 13:00,2019-01-05 14:00,7.772
2019-01-05 14:00,2019-01-05 15:00,2.477
