# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 46.050, 14.507 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Ljubljana, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Ljubljana", "electricity": "kW"}, "params": {"local_time": "true", "header": "true", "lat": "46.0500268", "lon": "14.5069289", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "250", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "false"}}
time,local_time,electricity
2019-01-01 00:00,2019-01-01 01:00,0
2019-01-01 01:00,2019-01-01 02:00,0
2019-01-01 02:00,2019-01-01 03:00,0
2019-01-01 03:00,2019-01-01 04:00,0
2019-01-01 04:00,2019-01-01 05:00,0
2019-01-01 05:00,2019-01-01 06:00,0
2019-01-01 06:00,2019-01-01 07:00,0
2019-01-01 07:00,2019-01-01 08:00,36.375
2019-01-01 08:00,2019-01-01 09:00,90.939
2019-01-01 09:00,2019-01-01 10:00,120.549
2019-01-01 10:00,2019-01-01 11:00,121.268
2019-01-01 11:00,2019-01-01 12:00,84.912
2019-01-01 12:00,2019-01-01 13:00,53.209
2019-01-01 13:00,2019-01-01 14:00,35.610
2019-01-01 14:00,2019-01-01 15:00,17.223
2019-01-01 15:00,2019-01-01 16:00,0
2019-01-01 16:00,2019-01-01 17:00,0
2019-01-01 17:00,2019-01-01 18:00,0
2019-01-01 18:00,2019-01-01 19:00,0
2019-01-01 19:00,2019-01-01 20:00,0
2019-01-01 20:00,2019-01-01 21:00,0
2019-01-01 21:00,2019-01-01 22:00,0
2019-01-01 22:00,2019-01-01 23:00,0
2019-01-01 23:00,2019-01-02 00:00,0
2019-01-02 00:00,2019-01-02 01:00,0
2019-01-02 01:00,2019-01-02 02:00,0
2019-01-02 02:00,2019-01-02 03:00,0
2019-01-02 03:00,2019-01-02 04:00,0
2019-01-02 04:00,2019-01-02 05:00,0
2019-01-02 05:00,2019-01-02 06:00,0
2019-01-02 06:00,2019-01-02 07:00,0
2019-01-02 07:00,2019-01-02 08:00,50.764
2019-01-02 08:00,2019-01-02 09:00,108.173
2019-01-02 09:00,2019-01-02 10:00,142.383
2019-01-02 10:00,2019-01-02 11:00,152.656
2019-01-02 11:00,2019-01-02 12:00,120.847
2019-01-02 12:00,2019-01-02 13:00,100.316
2019-01-02 13:00,2019-01-02 14:00,60.147
2019-01-02 14:00,2019-01-02 15:00,16.741
2019-01-02 15:00,2019-01-02 16:00,0
2019-01-02 16:00,2019-01-02 17:00,0
2019-01-02 17:00,2019-01-02 18:00,0
2019-01-02 18:00,2019-01-02 19:00,0
2019-01-02 19:00,2019-01-02 20:00,0
2019-01-02 20:00,2019-01-02 21:00,0
2019-01-02 21:00,2019-01-02 22:00,0
2019-01-02 22:00,2019-01-02 23:00,0
2019-01-02 23:00,2019-01-03 00:00,0
2019-01-03 00:00,2019-01-03 01:00,0
2019-01-03 01:00,2019-01-03 02:00,0
2019-01-03 02:00,2019-01-03 03:00,0
2019-01-03 03:00,2019-01-03 04:00,0
2019-01-03 04:00,2019-01-03 05:00,0
2019-01-03 05:00,2019-01-03 06:00,0
2019-01-03 06:00,2019-01-03 07:00,0
2019-01-03 07:00,2019-01-03 08:00,48.480
2019-01-03 08:00,2019-01-03 09:00,99.236
2019-01-03 09:00,2019-01-03 10:00,131.180
2019-01-03 10:00,2019-01-03 11:00,152.521
2019-01-03 11:00,2019-01-03 12:00,161.055
2019-01-03 12:00,2019-01-03 13:00,149.408
2019-01-03 13:00,2019-01-03 14:00,113.596
2019-01-03 14:00,2019-01-03 15:00,41.519
2019-01-03 15:00,2019-01-03 16:00,0.015
2019-01-03 16:00,2019-01-03 17:00,0
2019-01-03 17:00,2019-01-03 18:00,0
2019-01-03 18:00,2019-01-03 19:00,0
2019-01-03 19:00,2019-01-03 20:00,0
2019-01-03 20:00,2019-01-03 21:00,0
2019-01-03 21:00,2019-01-03 22:00,0
2019-01-03 22:00,2019-01-03 23:00,0
2019-01-03 23:00,2019-01-04 00:00,0
2019-01-04 00:00,2019-01-04 01:00,0
2019-01-04 01:00,2019-01-04 02:00,0
2019-01-04 02:00,2019-01-04 03:00,0
2019-01-04 03:00,2019-01-04 04:00,0
2019-01-04 04:00,2019-01-04 05:00,0
2019-01-04 05:00,2019-01-04 06:00,0
2019-01-04 06:00,2019-01-04 07:00,0
2019-01-04 07:00,2019-01-04 08:00,45.928
2019-01-04 08:00,2019-01-04 09:00,105.468
2019-01-04 09:00,2019-01-04 10:00,141.080
2019-01-04 10:00,2019-01-04 11:00,160.722
2019-01-04 11:00,2019-01-04 12:00,146.436
2019-01-04 12:00,2019-01-04 13:00,107.960
2019-01-04 13:00,2019-01-04 14:00,67.576
2019-01-04 14:00,2019-01-04 15:00,26.108
2019-01-04 15:00,2019-01-04 16:00,0
2019-01-04 16:00,2019-01-04 17:00,0
2019-01-04 17:00,2019-01-04 18:00,0
2019-01-04 18:00,2019-01-04 19:00,0
2019-01-04 19:00,2019-01-04 20:00,0
2019-01-04 20:00,2019-01-04 21:00,0
2019-01-04 21:00,2019-01-04 22:00,0
2019-01-04 22:00,2019-01-04 23:00,0
2019-01-04 23:00,2019-01-05 00:00,0
2019-01-05 00:00,2019-01-05 01:00,0
2019-01-05 01:00,2019-01-05 02:00,0
2019-01-05 02:00,2019-01-05 03:00,0
2019-01-05 03:00,2019-01-05 04:00,0
2019-01-05 04:00,2019-01-05 05:00,0
2019-01-05 05:00,2019-01-05 06:00,0
2019-01-05 06:00,2019-01-05 07:00,0
2019-01-05 07:00,2019-01-05 08:00,4.089
2019-01-05 08:00,2019-01-05 09:00,8.348
2019-01-05 09:00,2019-01-05 10:00,11.501
2019-01-05 10:00,2019-01-05 11:00,14.096
2019-01-05 11:00,2019-01-05 12:00,13.717
2019-01-05 12:00,2019-01-05 13:00,11.403
2019-01-05 13:00,2019-01-05 14:00,9.150
2019-01-05 14:00,2019-01-05 15:00,5.808
