# Renewables.ninja Heating & cooling demand (Point API) - -12.822, 45.139 - Version: 1.0 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1038/s41560-023-01341-5
# Units: time in UTC, total_demand in unknown, heating_demand in unknown, cooling_demand in unknown
# {"units": {"time": "UTC", "total_demand": "unknown", "heating_demand": "unknown", "cooling_demand": "unknown"}, "params": {"lat": "-12.82155901", "lon": "45.13898189", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "heating_threshold": "14", "cooling_threshold": "20", "base_power": "0", "heating_power": "90", "cooling_power": "100", "smoothing": "0.5", "solar_gains": "0.012", "wind_chill": "-0.2", "humidity_discomfort": "0.05", "use_diurnal_profile": "True"}}
time,total_demand,heating_demand,cooling_demand
2019-01-01 00:00,240.582,0,240.582
2019-01-01 01:00,219.222,0,219.222
2019-01-01 02:00,201.616,0,201.616
2019-01-01 03:00,186.458,0,186.458
2019-01-01 04:00,176.848,0,176.848
2019-01-01 05:00,169.571,0,169.571
2019-01-01 06:00,166.512,0,166.512
2019-01-01 07:00,176.968,0,176.968
2019-01-01 08:00,205.110,0,205.110
2019-01-01 09:00,235.327,0,235.327
2019-01-01 10:00,263.717,0,263.717
2019-01-01 11:00,302.486,0,302.486
2019-01-01 12:00,347.967,0,347.967
2019-01-01 13:00,390.885,0,390.885
2019-01-01 14:00,428.105,0,428.105
2019-01-01 15:00,457.375,0,457.375
2019-01-01 16:00,473.925,0,473.925
2019-01-01 17:00,472.187,0,472.187
2019-01-01 18:00,458.431,0,458.431
2019-01-01 19:00,436.892,0,436.892
2019-01-01 20:00,412.073,0,412.073
2019-01-01 21:00,384.036,0,384.036
2019-01-01 22:00,355.924,0,355.924
2019-01-01 23:00,324.455,0,324.455
2019-01-02 00:00,292.218,0,292.218
2019-01-02 01:00,261.947,0,261.947
2019-01-02 02:00,237.194,0,237.194
2019-01-02 03:00,216.147,0,216.147
2019-01-02 04:00,202.150,0,202.150
2019-01-02 05:00,191.263,0,191.263
2019-01-02 06:00,185.445,0,185.445
2019-01-02 07:00,194.724,0,194.724
2019-01-02 08:00,223.113,0,223.113
