# Renewables.ninja Heating & cooling demand (Point API) - 41.550, -5.139 - Version: 1.0 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1038/s41560-023-01341-5
# Units: time in UTC, total_demand in unknown, heating_demand in unknown, cooling_demand in unknown
# {"units": {"time": "UTC", "total_demand": "unknown", "heating_demand": "unknown", "cooling_demand": "unknown"}, "params": {"lat": "41.55", "lon": "-5.1387", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "heating_threshold": "14", "cooling_threshold": "20", "base_power": "0", "heating_power": "90", "cooling_power": "100", "smoothing": "0.5", "solar_gains": "0.012", "wind_chill": "-0.2", "humidity_discomfort": "0.05", "use_diurnal_profile": "True"}}
time,total_demand,heating_demand,cooling_demand
2019-01-01 00:00,564.182,564.182,0
2019-01-01 01:00,581.674,581.674,0
2019-01-01 02:00,592.187,592.187,0
2019-01-01 03:00,597.720,597.720,0
2019-01-01 04:00,606.373,606.373,0
2019-01-01 05:00,627.182,627.182,0
2019-01-01 06:00,661.975,661.975,0
2019-01-01 07:00,687.307,687.307,0
2019-01-01 08:00,698.322,698.322,0
2019-01-01 09:00,692.684,692.684,0
2019-01-01 10:00,675.493,675.493,0
2019-01-01 11:00,658.370,658.370,0
2019-01-01 12:00,640.597,640.597,0
2019-01-01 13:00,620.566,620.566,0
2019-01-01 14:00,607.620,607.620,0
2019-01-01 15:00,612.234,612.234,0
2019-01-01 16:00,648.320,648.320,0
2019-01-01 17:00,710.269,710.269,0
2019-01-01 18:00,727.612,727.612,0
2019-01-01 19:00,696.635,696.635,0
2019-01-01 20:00,676.403,676.403,0
2019-01-01 21:00,692.888,692.888,0
2019-01-01 22:00,711.482,711.482,0
2019-01-01 23:00,715.647,715.647,0
2019-01-02 00:00,739.810,739.810,0
2019-01-02 01:00,757.240,757.240,0
2019-01-02 02:00,765.519,765.519,0
2019-01-02 03:00,767.405,767.405,0
2019-01-02 04:00,773.350,773.350,0
2019-01-02 05:00,794.727,794.727,0
2019-01-02 06:00,833.540,833.540,0
2019-01-02 07:00,860.134,860.134,0
2019-01-02 08:00,868.696,868.696,0
2019-01-02 09:00,856.657,856.657,0
2019-01-02 10:00,830.641,830.641,0
2019-01-02 11:00,805.082,805.082,0
2019-01-02 12:00,779.090,779.090,0
2019-01-02 13:00,750.714,750.714,0
2019-01-02 14:00,731.230,731.230,0
2019-01-02 15:00,733.028,733.028,0
2019-01-02 16:00,772.361,772.361,0
2019-01-02 17:00,842.023,842.023,0
2019-01-02 18:00,858.447,858.447,0
2019-01-02 19:00,818.033,818.033,0
2019-01-02 20:00,790.607,790.607,0
2019-01-02 21:00,806.202,806.202,0
2019-01-02 22:00,824.149,824.149,0
2019-01-02 23:00,825.341,825.341,0
2019-01-03 00:00,849.533,849.533,0
2019-01-03 01:00,865.862,865.862,0
2019-01-03 02:00,871.677,871.677,0
2019-01-03 03:00,870.233,870.233,0
2019-01-03 04:00,873.425,873.425,0
2019-01-03 05:00,893.985,893.985,0
2019-01-03 06:00,933.956,933.956,0
2019-01-03 07:00,960.012,960.012,0
2019-01-03 08:00,965.852,965.852,0
2019-01-03 09:00,948.862,948.862,0
2019-01-03 10:00,916.606,916.606,0
2019-01-03 11:00,885.119,885.119,0
2019-01-03 12:00,853.415,853.415,0
2019-01-03 13:00,819.360,819.360,0
2019-01-03 14:00,795.240,795.240,0
2019-01-03 15:00,794.375,794.375,0
2019-01-03 16:00,834.066,834.066,0
2019-01-03 17:00,906.138,906.138,0
2019-01-03 18:00,920.635,920.635,0
2019-01-03 19:00,874.302,874.302,0
2019-01-03 20:00,842.133,842.133,0
2019-01-03 21:00,855.866,855.866,0
2019-01-03 22:00,872.008,872.008,0
2019-01-03 23:00,870.387,870.387,0
2019-01-04 00:00,892.963,892.963,0
2019-01-04 01:00,907.165,907.165,0
2019-01-04 02:00,910.304,910.304,0
2019-01-04 03:00,905.877,905.877,0
2019-01-04 04:00,906.296,906.296,0
2019-01-04 05:00,924.685,924.685,0
2019-01-04 06:00,962.977,962.977,0
2019-01-04 07:00,986.733,986.733,0
2019-01-04 08:00,989.631,989.631,0
2019-01-04 09:00,969.196,969.196,0
2019-01-04 10:00,933.347,933.347,0
2019-01-04 11:00,898.502,898.502,0
