# Renewables.ninja Heating & cooling demand (Point API) - 62.318, 23.715 - Version: 1.0 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1038/s41560-023-01341-5
# Units: time in UTC, total_demand in unknown, heating_demand in unknown, cooling_demand in unknown
# {"units": {"time": "UTC", "total_demand": "unknown", "heating_demand": "unknown", "cooling_demand": "unknown"}, "params": {"lat": "62.31787143", "lon": "23.71525283", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "heating_threshold": "14", "cooling_threshold": "20", "base_power": "0", "heating_power": "90", "cooling_power": "100", "smoothing": "0.5", "solar_gains": "0.012", "wind_chill": "-0.2", "humidity_discomfort": "0.05", "use_diurnal_profile": "True"}}
time,total_demand,heating_demand,cooling_demand
2019-01-01 00:00,1638.731,1638.731,0
2019-01-01 01:00,1605.666,1605.666,0
2019-01-01 02:00,1556.725,1556.725,0
2019-01-01 03:00,1499.582,1499.582,0
2019-01-01 04:00,1455.203,1455.203,0
2019-01-01 05:00,1443.212,1443.212,0
2019-01-01 06:00,1464.253,1464.253,0
2019-01-01 07:00,1465.171,1465.171,0
2019-01-01 08:00,1438.519,1438.519,0
2019-01-01 09:00,1382.620,1382.620,0
2019-01-01 10:00,1310.095,1310.095,0
2019-01-01 11:00,1244.178,1244.178,0
2019-01-01 12:00,1182.899,1182.899,0
2019-01-01 13:00,1122.825,1122.825,0
2019-01-01 14:00,1080.229,1080.229,0
2019-01-01 15:00,1072.339,1072.339,0
2019-01-01 16:00,1121.699,1121.699,0
2019-01-01 17:00,1216.973,1216.973,0
2019-01-01 18:00,1237.607,1237.607,0
2019-01-01 19:00,1179.000,1179.000,0
2019-01-01 20:00,1141.517,1141.517,0
2019-01-01 21:00,1168.400,1168.400,0
2019-01-01 22:00,1201.054,1201.054,0
2019-01-01 23:00,1211.493,1211.493,0
2019-01-02 00:00,1257.925,1257.925,0
2019-01-02 01:00,1295.097,1295.097,0
2019-01-02 02:00,1318.614,1318.614,0
2019-01-02 03:00,1332.825,1332.825,0
2019-01-02 04:00,1355.645,1355.645,0
2019-01-02 05:00,1407.289,1407.289,0
2019-01-02 06:00,1492.133,1492.133,0
2019-01-02 07:00,1557.502,1557.502,0
2019-01-02 08:00,1591.946,1591.946,0
2019-01-02 09:00,1589.405,1589.405,0
2019-01-02 10:00,1560.752,1560.752,0
2019-01-02 11:00,1532.280,1532.280,0
2019-01-02 12:00,1502.138,1502.138,0
2019-01-02 13:00,1466.332,1466.332,0
2019-01-02 14:00,1446.857,1446.857,0
2019-01-02 15:00,1469.111,1469.111,0
2019-01-02 16:00,1567.605,1567.605,0
2019-01-02 17:00,1730.280,1730.280,0
2019-01-02 18:00,1785.464,1785.464,0
2019-01-02 19:00,1721.474,1721.474,0
2019-01-02 20:00,1682.703,1682.703,0
2019-01-02 21:00,1734.657,1734.657,0
2019-01-02 22:00,1791.776,1791.776,0
2019-01-02 23:00,1812.127,1812.127,0
2019-01-03 00:00,1882.622,1882.622,0
2019-01-03 01:00,1935.500,1935.500,0
2019-01-03 02:00,1964.171,1964.171,0
2019-01-03 03:00,1975.330,1975.330,0
2019-01-03 04:00,1995.700,1995.700,0
2019-01-03 05:00,2054.635,2054.635,0
2019-01-03 06:00,2157.338,2157.338,0
2019-01-03 07:00,2226.852,2226.852,0
