# Renewables.ninja Heating & cooling demand (Point API) - 52.742, -2.415 - Version: 1.0 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1038/s41560-023-01341-5
# Units: time in UTC, total_demand in unknown, heating_demand in unknown, cooling_demand in unknown
# {"units": {"time": "UTC", "total_demand": "unknown", "heating_demand": "unknown", "cooling_demand": "unknown"}, "params": {"lat": "52.74161072", "lon": "-2.415424112", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "heating_threshold": "14", "cooling_threshold": "20", "base_power": "0", "heating_power": "90", "cooling_power": "100", "smoothing": "0.5", "solar_gains": "0.012", "wind_chill": "-0.2", "humidity_discomfort": "0.05", "use_diurnal_profile": "True"}}
time,total_demand,heating_demand,cooling_demand
2019-01-01 00:00,426.780,426.780,0
2019-01-01 01:00,454.911,454.911,0
2019-01-01 02:00,477.215,477.215,0
2019-01-01 03:00,494.863,494.863,0
2019-01-01 04:00,514.434,514.434,0
2019-01-01 05:00,543.983,543.983,0
2019-01-01 06:00,585.785,585.785,0
2019-01-01 07:00,619.370,619.370,0
2019-01-01 08:00,639.785,639.785,0
2019-01-01 09:00,644.226,644.226,0
2019-01-01 10:00,636.881,636.881,0
2019-01-01 11:00,628.496,628.496,0
2019-01-01 12:00,618.476,618.476,0
2019-01-01 13:00,605.317,605.317,0
2019-01-01 14:00,598.242,598.242,0
2019-01-01 15:00,607.906,607.906,0
2019-01-01 16:00,648.695,648.695,0
2019-01-01 17:00,715.633,715.633,0
2019-01-01 18:00,737.728,737.728,0
2019-01-01 19:00,710.339,710.339,0
2019-01-01 20:00,693.245,693.245,0
2019-01-01 21:00,713.416,713.416,0
2019-01-01 22:00,735.594,735.594,0
2019-01-01 23:00,742.643,742.643,0
2019-01-02 00:00,770.264,770.264,0
2019-01-02 01:00,790.743,790.743,0
2019-01-02 02:00,801.493,801.493,0
2019-01-02 03:00,805.346,805.346,0
2019-01-02 04:00,813.270,813.270,0
2019-01-02 05:00,837.287,837.287,0
2019-01-02 06:00,879.611,879.611,0
2019-01-02 07:00,908.988,908.988,0
2019-01-02 08:00,919.219,919.219,0
2019-01-02 09:00,907.525,907.525,0
2019-01-02 10:00,880.879,880.879,0
2019-01-02 11:00,854.583,854.583,0
2019-01-02 12:00,827.720,827.720,0
2019-01-02 13:00,798.234,798.234,0
2019-01-02 14:00,778.137,778.137,0
2019-01-02 15:00,780.667,780.667,0
2019-01-02 16:00,823.212,823.212,0
2019-01-02 17:00,898.201,898.201,0
