# Renewables.ninja Weather (Point API) - 35.053, 33.213 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, t2m in ºC
# {"units": {"time": "UTC", "t2m": "\u00baC"}, "params": {"lat": "35.05327139", "lon": "33.21302205", "date_from": "2019-01-01", "date_to": "2019-12-31", "var_t2m": "True"}}
time,t2m
2019-01-01 00:00,11.781
2019-01-01 01:00,11.712
2019-01-01 02:00,11.748
2019-01-01 03:00,11.774
2019-01-01 04:00,11.804
2019-01-01 05:00,11.970
2019-01-01 06:00,12.380
2019-01-01 07:00,12.685
2019-01-01 08:00,12.830
2019-01-01 09:00,13.049
2019-01-01 10:00,13.339
2019-01-01 11:00,13.470
2019-01-01 12:00,13.372
2019-01-01 13:00,13.037
2019-01-01 14:00,12.464
2019-01-01 15:00,12.185
2019-01-01 16:00,12.055
2019-01-01 17:00,11.909
2019-01-01 18:00,11.865
2019-01-01 19:00,11.850
2019-01-01 20:00,11.925
2019-01-01 21:00,11.785
2019-01-01 22:00,11.625
2019-01-01 23:00,11.596
2019-01-02 00:00,11.461
2019-01-02 01:00,11.462
2019-01-02 02:00,11.327
2019-01-02 03:00,11.697
2019-01-02 04:00,11.817
2019-01-02 05:00,12.400
2019-01-02 06:00,13.514
2019-01-02 07:00,14.142
2019-01-02 08:00,14.468
2019-01-02 09:00,14.310
2019-01-02 10:00,14.113
2019-01-02 11:00,13.764
2019-01-02 12:00,13.278
2019-01-02 13:00,12.730
2019-01-02 14:00,12.330
2019-01-02 15:00,11.967
2019-01-02 16:00,11.549
2019-01-02 17:00,11.211
2019-01-02 18:00,10.980
2019-01-02 19:00,10.832
2019-01-02 20:00,10.876
2019-01-02 21:00,11.010
2019-01-02 22:00,11.035
2019-01-02 23:00,10.920
2019-01-03 00:00,10.841
2019-01-03 01:00,10.977
2019-01-03 02:00,10.936
2019-01-03 03:00,10.552
2019-01-03 04:00,10.256
2019-01-03 05:00,11.224
2019-01-03 06:00,13.091
2019-01-03 07:00,13.857
2019-01-03 08:00,14.309
2019-01-03 09:00,14.686
2019-01-03 10:00,14.819
