# Renewables.ninja Weather (Point API) - 41.515, -0.665 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, t2m in ºC
# {"units": {"time": "UTC", "t2m": "\u00baC"}, "params": {"lat": "41.51511297", "lon": "-0.664543483", "date_from": "2019-01-01", "date_to": "2019-12-31", "var_t2m": "True"}}
time,t2m
2019-01-01 00:00,3.529
2019-01-01 01:00,3.599
2019-01-01 02:00,3.605
2019-01-01 03:00,3.396
2019-01-01 04:00,3.082
2019-01-01 05:00,2.869
2019-01-01 06:00,2.719
2019-01-01 07:00,2.795
2019-01-01 08:00,4.817
2019-01-01 09:00,7.014
2019-01-01 10:00,9.127
2019-01-01 11:00,10.920
2019-01-01 12:00,12.144
2019-01-01 13:00,12.841
2019-01-01 14:00,12.746
2019-01-01 15:00,10.860
2019-01-01 16:00,6.658
2019-01-01 17:00,5.011
2019-01-01 18:00,4.279
2019-01-01 19:00,3.700
2019-01-01 20:00,3.191
2019-01-01 21:00,2.755
2019-01-01 22:00,2.420
2019-01-01 23:00,2.085
2019-01-02 00:00,1.502
2019-01-02 01:00,1.034
2019-01-02 02:00,0.552
2019-01-02 03:00,0.159
2019-01-02 04:00,-0.187
2019-01-02 05:00,-0.498
2019-01-02 06:00,-0.718
2019-01-02 07:00,-0.724
2019-01-02 08:00,0.699
2019-01-02 09:00,3.330
2019-01-02 10:00,6.168
2019-01-02 11:00,8.601
2019-01-02 12:00,10.294
2019-01-02 13:00,11.387
2019-01-02 14:00,11.567
2019-01-02 15:00,9.943
2019-01-02 16:00,6.693
2019-01-02 17:00,4.948
2019-01-02 18:00,3.508
2019-01-02 19:00,2.432
2019-01-02 20:00,1.469
2019-01-02 21:00,0.617
2019-01-02 22:00,0.159
2019-01-02 23:00,-0.104
2019-01-03 00:00,-0.337
2019-01-03 01:00,-0.433
2019-01-03 02:00,-0.586
2019-01-03 03:00,-0.854
2019-01-03 04:00,-1.183
2019-01-03 05:00,-1.554
2019-01-03 06:00,-1.856
2019-01-03 07:00,-1.988
2019-01-03 08:00,0.387
2019-01-03 09:00,2.786
2019-01-03 10:00,5.229
2019-01-03 11:00,7.224
2019-01-03 12:00,8.683
2019-01-03 13:00,9.553
2019-01-03 14:00,9.613
2019-01-03 15:00,7.707
2019-01-03 16:00,4.380
2019-01-03 17:00,2.675
2019-01-03 18:00,1.653
2019-01-03 19:00,0.937
2019-01-03 20:00,0.376
2019-01-03 21:00,0.042
2019-01-03 22:00,-0.137
2019-01-03 23:00,-0.513
2019-01-04 00:00,-0.854
2019-01-04 01:00,-1.057
2019-01-04 02:00,-1.222
2019-01-04 03:00,-1.495
2019-01-04 04:00,-1.823
2019-01-04 05:00,-2.079
2019-01-04 06:00,-2.320
2019-01-04 07:00,-2.335
2019-01-04 08:00,0.548
2019-01-04 09:00,3.078
2019-01-04 10:00,5.254
2019-01-04 11:00,7.210
2019-01-04 12:00,8.749
2019-01-04 13:00,9.839
2019-01-04 14:00,9.945
2019-01-04 15:00,7.833
2019-01-04 16:00,4.899
2019-01-04 17:00,3.830
2019-01-04 18:00,2.958
2019-01-04 19:00,1.902
2019-01-04 20:00,0.483
2019-01-04 21:00,-0.668
2019-01-04 22:00,-1.118
2019-01-04 23:00,-1.397
2019-01-05 00:00,-1.610
2019-01-05 01:00,-1.700
2019-01-05 02:00,-1.537
2019-01-05 03:00,-1.323
2019-01-05 04:00,-1.208
2019-01-05 05:00,-1.167
2019-01-05 06:00,-1.067
2019-01-05 07:00,-0.670
2019-01-05 08:00,1.915
2019-01-05 09:00,4.640
2019-01-05 10:00,7.381
2019-01-05 11:00,9.744
2019-01-05 12:00,11.812
2019-01-05 13:00,13.020
