# Renewables.ninja Weather (Point API) - 62.318, 23.715 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, t2m in ºC
# {"units": {"time": "UTC", "t2m": "\u00baC"}, "params": {"lat": "62.31787143", "lon": "23.71525283", "date_from": "2019-01-01", "date_to": "2019-12-31", "var_t2m": "True"}}
time,t2m
2019-01-01 00:00,-1.445
2019-01-01 01:00,-1.321
2019-01-01 02:00,-1.193
2019-01-01 03:00,-1.024
2019-01-01 04:00,-0.854
2019-01-01 05:00,-0.730
2019-01-01 06:00,-0.661
2019-01-01 07:00,-0.737
2019-01-01 08:00,-1.132
2019-01-01 09:00,-1.291
2019-01-01 10:00,-1.230
2019-01-01 11:00,-1.258
2019-01-01 12:00,-1.461
2019-01-01 13:00,-1.302
2019-01-01 14:00,-1.621
2019-01-01 15:00,-1.770
2019-01-01 16:00,-1.620
2019-01-01 17:00,-1.612
2019-01-01 18:00,-1.841
2019-01-01 19:00,-2.190
2019-01-01 20:00,-2.828
2019-01-01 21:00,-3.853
2019-01-01 22:00,-4.598
2019-01-01 23:00,-4.594
2019-01-02 00:00,-4.342
2019-01-02 01:00,-4.180
2019-01-02 02:00,-4.439
2019-01-02 03:00,-5.007
2019-01-02 04:00,-5.593
2019-01-02 05:00,-6.141
2019-01-02 06:00,-6.660
2019-01-02 07:00,-7.237
2019-01-02 08:00,-7.868
2019-01-02 09:00,-8.385
2019-01-02 10:00,-8.755
2019-01-02 11:00,-9.005
2019-01-02 12:00,-9.217
2019-01-02 13:00,-9.368
2019-01-02 14:00,-9.371
2019-01-02 15:00,-9.307
2019-01-02 16:00,-9.358
2019-01-02 17:00,-9.648
2019-01-02 18:00,-10.135
2019-01-02 19:00,-10.735
2019-01-02 20:00,-11.547
2019-01-02 21:00,-12.093
2019-01-02 22:00,-12.603
2019-01-02 23:00,-13.145
2019-01-03 00:00,-13.640
2019-01-03 01:00,-14.153
2019-01-03 02:00,-14.778
2019-01-03 03:00,-15.307
2019-01-03 04:00,-15.807
2019-01-03 05:00,-16.357
2019-01-03 06:00,-16.996
2019-01-03 07:00,-17.891
2019-01-03 08:00,-18.841
2019-01-03 09:00,-18.871
2019-01-03 10:00,-18.418
2019-01-03 11:00,-18.120
2019-01-03 12:00,-18.183
2019-01-03 13:00,-18.141
2019-01-03 14:00,-17.615
2019-01-03 15:00,-16.486
2019-01-03 16:00,-15.929
2019-01-03 17:00,-15.253
2019-01-03 18:00,-14.350
2019-01-03 19:00,-13.401
2019-01-03 20:00,-12.432
2019-01-03 21:00,-11.440
2019-01-03 22:00,-10.474
2019-01-03 23:00,-9.690
2019-01-04 00:00,-9.006
2019-01-04 01:00,-8.078
2019-01-04 02:00,-6.942
2019-01-04 03:00,-6.295
2019-01-04 04:00,-6.119
2019-01-04 05:00,-5.532
2019-01-04 06:00,-5.029
2019-01-04 07:00,-4.591
2019-01-04 08:00,-4.228
2019-01-04 09:00,-3.387
2019-01-04 10:00,-2.672
2019-01-04 11:00,-2.512
2019-01-04 12:00,-2.648
2019-01-04 13:00,-2.884
2019-01-04 14:00,-2.989
2019-01-04 15:00,-3.148
2019-01-04 16:00,-3.480
2019-01-04 17:00,-4.068
2019-01-04 18:00,-4.840
2019-01-04 19:00,-5.761
2019-01-04 20:00,-6.802
2019-01-04 21:00,-8.047
2019-01-04 22:00,-9.599
2019-01-04 23:00,-11.025
2019-01-05 00:00,-11.526
2019-01-05 01:00,-11.386
2019-01-05 02:00,-11.438
2019-01-05 03:00,-11.823
2019-01-05 04:00,-12.646
2019-01-05 05:00,-13.901
2019-01-05 06:00,-14.806
2019-01-05 07:00,-15.286
2019-01-05 08:00,-15.130
2019-01-05 09:00,-13.958
2019-01-05 10:00,-12.658
2019-01-05 11:00,-11.872
2019-01-05 12:00,-11.475
2019-01-05 13:00,-11.146
2019-01-05 14:00,-10.692
2019-01-05 15:00,-10.358
2019-01-05 16:00,-9.964
2019-01-05 17:00,-9.498
2019-01-05 18:00,-9.116
2019-01-05 19:00,-8.981
2019-01-05 20:00,-9.376
2019-01-05 21:00,-10.419
2019-01-05 22:00,-11.490
2019-01-05 23:00,-11.323
2019-01-06 00:00,-10.643
2019-01-06 01:00,-9.815
2019-01-06 02:00,-9.242
2019-01-06 03:00,-8.797
2019-01-06 04:00,-7.519
2019-01-06 05:00,-7.075
2019-01-06 06:00,-7.100
2019-01-06 07:00,-7.087
2019-01-06 08:00,-6.492
2019-01-06 09:00,-5.640
2019-01-06 10:00,-4.791
2019-01-06 11:00,-4.289
2019-01-06 12:00,-3.907
2019-01-06 13:00,-3.394
2019-01-06 14:00,-3.025
2019-01-06 15:00,-2.783
2019-01-06 16:00,-2.592
2019-01-06 17:00,-2.344
2019-01-06 18:00,-1.919
2019-01-06 19:00,-1.510
2019-01-06 20:00,-1.177
2019-01-06 21:00,-0.836
2019-01-06 22:00,-0.492
2019-01-06 23:00,-0.304
2019-01-07 00:00,-0.168
2019-01-07 01:00,-0.052
2019-01-07 02:00,0.016
2019-01-07 03:00,0.028
2019-01-07 04:00,0.008
2019-01-07 05:00,-0.082
2019-01-07 06:00,-0.527
2019-01-07 07:00,-1.019
2019-01-07 08:00,-1.490
2019-01-07 09:00,-1.784
2019-01-07 10:00,-1.920
2019-01-07 11:00,-2.020
2019-01-07 12:00,-2.161
2019-01-07 13:00,-2.359
2019-01-07 14:00,-2.533
2019-01-07 15:00,-2.813
2019-01-07 16:00,-3.199
2019-01-07 17:00,-3.540
2019-01-07 18:00,-3.722
2019-01-07 19:00,-3.688
2019-01-07 20:00,-3.508
2019-01-07 21:00,-3.294
2019-01-07 22:00,-3.099
2019-01-07 23:00,-2.990
2019-01-08 00:00,-2.981
2019-01-08 01:00,-3.129
2019-01-08 02:00,-3.461
2019-01-08 03:00,-3.926
2019-01-08 04:00,-4.287
2019-01-08 05:00,-4.478
2019-01-08 06:00,-4.667
2019-01-08 07:00,-4.788
2019-01-08 08:00,-4.621
2019-01-08 09:00,-4.334
2019-01-08 10:00,-4.120
2019-01-08 11:00,-4.122
2019-01-08 12:00,-4.450
2019-01-08 13:00,-4.725
2019-01-08 14:00,-4.880
2019-01-08 15:00,-4.935
2019-01-08 16:00,-4.987
2019-01-08 17:00,-5.174
2019-01-08 18:00,-5.482
2019-01-08 19:00,-5.775
2019-01-08 20:00,-6.099
2019-01-08 21:00,-6.504
2019-01-08 22:00,-6.784
2019-01-08 23:00,-7.032
2019-01-09 00:00,-7.368
2019-01-09 01:00,-7.810
2019-01-09 02:00,-8.415
2019-01-09 03:00,-8.608
2019-01-09 04:00,-8.795
2019-01-09 05:00,-9.467
2019-01-09 06:00,-10.334
2019-01-09 07:00,-10.948
2019-01-09 08:00,-10.926
2019-01-09 09:00,-10.006
2019-01-09 10:00,-9.058
2019-01-09 11:00,-8.316
2019-01-09 12:00,-7.976
2019-01-09 13:00,-7.461
2019-01-09 14:00,-6.972
2019-01-09 15:00,-6.728
2019-01-09 16:00,-7.039
2019-01-09 17:00,-7.633
2019-01-09 18:00,-8.586
2019-01-09 19:00,-9.685
2019-01-09 20:00,-10.550
2019-01-09 21:00,-12.066
2019-01-09 22:00,-13.647
2019-01-09 23:00,-14.545
2019-01-10 00:00,-14.901
2019-01-10 01:00,-15.158
2019-01-10 02:00,-15.481
2019-01-10 03:00,-15.758
2019-01-10 04:00,-16.210
2019-01-10 05:00,-16.598
2019-01-10 06:00,-16.801
2019-01-10 07:00,-16.804
2019-01-10 08:00,-16.518
2019-01-10 09:00,-15.909
2019-01-10 10:00,-14.805
2019-01-10 11:00,-13.754
2019-01-10 12:00,-13.286
2019-01-10 13:00,-12.788
2019-01-10 14:00,-11.973
2019-01-10 15:00,-10.961
2019-01-10 16:00,-9.984
2019-01-10 17:00,-9.084
2019-01-10 18:00,-8.461
2019-01-10 19:00,-6.632
2019-01-10 20:00,-4.919
2019-01-10 21:00,-3.513
2019-01-10 22:00,-2.190
2019-01-10 23:00,-1.552
2019-01-11 00:00,-1.074
2019-01-11 01:00,-0.523
2019-01-11 02:00,-0.207
2019-01-11 03:00,-0.092
2019-01-11 04:00,-0.070
2019-01-11 05:00,-0.438
2019-01-11 06:00,-0.903
2019-01-11 07:00,-1.243
2019-01-11 08:00,-1.420
2019-01-11 09:00,-1.379
2019-01-11 10:00,-1.179
2019-01-11 11:00,-0.825
2019-01-11 12:00,-0.372
2019-01-11 13:00,-0.069
2019-01-11 14:00,-0.004
2019-01-11 15:00,-0.034
2019-01-11 16:00,-0.091
2019-01-11 17:00,-0.069
2019-01-11 18:00,-0.038
2019-01-11 19:00,-0.339
2019-01-11 20:00,-0.783
2019-01-11 21:00,-1.023
2019-01-11 22:00,-1.116
2019-01-11 23:00,-1.256
2019-01-12 00:00,-1.563
2019-01-12 01:00,-2.108
2019-01-12 02:00,-2.752
2019-01-12 03:00,-3.339
2019-01-12 04:00,-3.894
2019-01-12 05:00,-4.397
2019-01-12 06:00,-4.856
2019-01-12 07:00,-5.287
2019-01-12 08:00,-5.610
2019-01-12 09:00,-5.702
2019-01-12 10:00,-5.709
2019-01-12 11:00,-5.449
2019-01-12 12:00,-6.216
2019-01-12 13:00,-7.008
2019-01-12 14:00,-7.662
2019-01-12 15:00,-8.122
2019-01-12 16:00,-8.417
2019-01-12 17:00,-8.710
2019-01-12 18:00,-9.059
2019-01-12 19:00,-9.378
2019-01-12 20:00,-9.594
2019-01-12 21:00,-9.757
2019-01-12 22:00,-9.942
2019-01-12 23:00,-10.066
2019-01-13 00:00,-10.075
2019-01-13 01:00,-10.070
2019-01-13 02:00,-10.121
2019-01-13 03:00,-10.182
2019-01-13 04:00,-10.159
2019-01-13 05:00,-10.074
2019-01-13 06:00,-10.138
2019-01-13 07:00,-10.329
2019-01-13 08:00,-10.268
2019-01-13 09:00,-9.880
2019-01-13 10:00,-9.496
2019-01-13 11:00,-9.185
2019-01-13 12:00,-9.249
2019-01-13 13:00,-8.751
2019-01-13 14:00,-8.746
2019-01-13 15:00,-8.804
2019-01-13 16:00,-8.827
2019-01-13 17:00,-8.737
2019-01-13 18:00,-8.502
2019-01-13 19:00,-8.154
2019-01-13 20:00,-7.707
2019-01-13 21:00,-7.210
2019-01-13 22:00,-6.760
2019-01-13 23:00,-6.430
2019-01-14 00:00,-6.230
2019-01-14 01:00,-6.136
2019-01-14 02:00,-6.166
2019-01-14 03:00,-6.338
2019-01-14 04:00,-6.691
2019-01-14 05:00,-7.018
2019-01-14 06:00,-7.798
2019-01-14 07:00,-8.337
2019-01-14 08:00,-8.611
2019-01-14 09:00,-8.366
2019-01-14 10:00,-7.852
2019-01-14 11:00,-7.748
2019-01-14 12:00,-8.127
2019-01-14 13:00,-8.744
2019-01-14 14:00,-9.176
2019-01-14 15:00,-9.560
2019-01-14 16:00,-10.310
2019-01-14 17:00,-11.431
2019-01-14 18:00,-11.772
2019-01-14 19:00,-11.161
2019-01-14 20:00,-10.839
2019-01-14 21:00,-10.989
2019-01-14 22:00,-10.940
2019-01-14 23:00,-10.620
2019-01-15 00:00,-10.200
2019-01-15 01:00,-9.881
2019-01-15 02:00,-9.645
2019-01-15 03:00,-9.316
2019-01-15 04:00,-8.992
2019-01-15 05:00,-8.727
2019-01-15 06:00,-8.488
2019-01-15 07:00,-8.292
2019-01-15 08:00,-8.082
2019-01-15 09:00,-7.889
2019-01-15 10:00,-7.773
2019-01-15 11:00,-7.654
2019-01-15 12:00,-7.572
2019-01-15 13:00,-7.483
2019-01-15 14:00,-7.323
2019-01-15 15:00,-7.109
2019-01-15 16:00,-6.861
2019-01-15 17:00,-6.691
2019-01-15 18:00,-6.622
2019-01-15 19:00,-6.748
2019-01-15 20:00,-6.948
2019-01-15 21:00,-7.126
2019-01-15 22:00,-7.091
2019-01-15 23:00,-7.314
