# Renewables.ninja Weather (Point API) - 45.433, 5.340 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, t2m in ºC
# {"units": {"time": "UTC", "t2m": "\u00baC"}, "params": {"lat": "45.43269156", "lon": "5.339803552", "date_from": "2019-01-01", "date_to": "2019-12-31", "var_t2m": "True"}}
time,t2m
2019-01-01 00:00,1.297
2019-01-01 01:00,1.273
2019-01-01 02:00,1.223
2019-01-01 03:00,1.310
2019-01-01 04:00,1.414
2019-01-01 05:00,1.466
2019-01-01 06:00,1.507
2019-01-01 07:00,1.530
2019-01-01 08:00,2.071
2019-01-01 09:00,2.911
2019-01-01 10:00,3.875
2019-01-01 11:00,4.788
2019-01-01 12:00,5.309
2019-01-01 13:00,5.280
2019-01-01 14:00,4.555
2019-01-01 15:00,2.904
2019-01-01 16:00,1.837
2019-01-01 17:00,1.707
2019-01-01 18:00,1.361
2019-01-01 19:00,1.092
2019-01-01 20:00,0.833
2019-01-01 21:00,0.626
2019-01-01 22:00,0.527
2019-01-01 23:00,0.445
2019-01-02 00:00,0.426
2019-01-02 01:00,0.576
2019-01-02 02:00,0.729
2019-01-02 03:00,0.877
2019-01-02 04:00,1.000
2019-01-02 05:00,1.082
2019-01-02 06:00,0.824
2019-01-02 07:00,0.487
2019-01-02 08:00,1.266
2019-01-02 09:00,2.284
2019-01-02 10:00,3.410
2019-01-02 11:00,4.104
2019-01-02 12:00,4.212
2019-01-02 13:00,3.824
2019-01-02 14:00,2.912
2019-01-02 15:00,1.268
2019-01-02 16:00,-0.469
2019-01-02 17:00,-1.313
2019-01-02 18:00,-1.850
2019-01-02 19:00,-2.167
2019-01-02 20:00,-2.330
2019-01-02 21:00,-2.449
2019-01-02 22:00,-2.668
2019-01-02 23:00,-2.780
2019-01-03 00:00,-3.061
2019-01-03 01:00,-3.044
2019-01-03 02:00,-3.067
2019-01-03 03:00,-3.151
2019-01-03 04:00,-3.359
2019-01-03 05:00,-3.482
2019-01-03 06:00,-3.688
2019-01-03 07:00,-3.655
2019-01-03 08:00,-2.354
2019-01-03 09:00,-0.564
2019-01-03 10:00,1.144
2019-01-03 11:00,2.330
2019-01-03 12:00,2.856
2019-01-03 13:00,2.726
2019-01-03 14:00,1.899
2019-01-03 15:00,-0.230
2019-01-03 16:00,-2.070
2019-01-03 17:00,-2.720
2019-01-03 18:00,-3.279
2019-01-03 19:00,-3.708
2019-01-03 20:00,-4.026
2019-01-03 21:00,-4.299
2019-01-03 22:00,-4.498
2019-01-03 23:00,-4.568
2019-01-04 00:00,-4.472
2019-01-04 01:00,-4.468
2019-01-04 02:00,-4.586
2019-01-04 03:00,-4.672
2019-01-04 04:00,-4.581
2019-01-04 05:00,-4.593
2019-01-04 06:00,-4.465
2019-01-04 07:00,-4.215
2019-01-04 08:00,-3.118
2019-01-04 09:00,-1.229
2019-01-04 10:00,0.834
2019-01-04 11:00,2.209
2019-01-04 12:00,2.795
2019-01-04 13:00,2.560
2019-01-04 14:00,1.934
2019-01-04 15:00,-0.070
2019-01-04 16:00,-1.482
2019-01-04 17:00,-1.507
2019-01-04 18:00,-2.005
2019-01-04 19:00,-2.976
2019-01-04 20:00,-3.200
2019-01-04 21:00,-3.349
2019-01-04 22:00,-3.536
2019-01-04 23:00,-3.653
2019-01-05 00:00,-3.757
2019-01-05 01:00,-3.706
2019-01-05 02:00,-3.530
2019-01-05 03:00,-3.489
2019-01-05 04:00,-3.473
2019-01-05 05:00,-3.376
2019-01-05 06:00,-3.136
2019-01-05 07:00,-2.866
2019-01-05 08:00,-1.630
2019-01-05 09:00,-0.021
2019-01-05 10:00,1.237
2019-01-05 11:00,2.179
2019-01-05 12:00,2.716
2019-01-05 13:00,2.789
2019-01-05 14:00,2.240
2019-01-05 15:00,0.531
2019-01-05 16:00,-0.964
2019-01-05 17:00,-1.292
2019-01-05 18:00,-1.351
2019-01-05 19:00,-1.363
2019-01-05 20:00,-1.456
2019-01-05 21:00,-1.512
2019-01-05 22:00,-1.580
2019-01-05 23:00,-1.526
2019-01-06 00:00,-1.517
2019-01-06 01:00,-1.497
2019-01-06 02:00,-1.514
2019-01-06 03:00,-1.482
2019-01-06 04:00,-1.459
2019-01-06 05:00,-1.446
2019-01-06 06:00,-1.462
2019-01-06 07:00,-1.431
2019-01-06 08:00,-0.470
2019-01-06 09:00,0.742
2019-01-06 10:00,2.038
2019-01-06 11:00,2.971
2019-01-06 12:00,3.410
2019-01-06 13:00,3.331
2019-01-06 14:00,2.627
2019-01-06 15:00,0.944
2019-01-06 16:00,-0.452
2019-01-06 17:00,-0.890
2019-01-06 18:00,-1.391
2019-01-06 19:00,-1.575
2019-01-06 20:00,-1.577
2019-01-06 21:00,-1.559
2019-01-06 22:00,-1.645
2019-01-06 23:00,-1.742
2019-01-07 00:00,-1.866
2019-01-07 01:00,-1.968
2019-01-07 02:00,-2.100
2019-01-07 03:00,-2.234
2019-01-07 04:00,-2.335
2019-01-07 05:00,-2.461
2019-01-07 06:00,-2.564
2019-01-07 07:00,-2.541
2019-01-07 08:00,-1.320
2019-01-07 09:00,0.359
2019-01-07 10:00,2.058
2019-01-07 11:00,3.136
2019-01-07 12:00,3.596
2019-01-07 13:00,3.493
2019-01-07 14:00,2.742
2019-01-07 15:00,0.989
2019-01-07 16:00,-0.303
2019-01-07 17:00,-0.594
2019-01-07 18:00,-1.008
2019-01-07 19:00,-1.346
2019-01-07 20:00,-1.739
2019-01-07 21:00,-2.030
2019-01-07 22:00,-2.144
2019-01-07 23:00,-2.476
2019-01-08 00:00,-2.750
2019-01-08 01:00,-2.658
2019-01-08 02:00,-2.428
2019-01-08 03:00,-2.267
2019-01-08 04:00,-2.206
2019-01-08 05:00,-2.018
2019-01-08 06:00,-1.693
2019-01-08 07:00,-1.140
2019-01-08 08:00,0.009
2019-01-08 09:00,1.167
2019-01-08 10:00,1.805
2019-01-08 11:00,2.017
2019-01-08 12:00,1.963
2019-01-08 13:00,1.891
2019-01-08 14:00,1.709
2019-01-08 15:00,1.507
2019-01-08 16:00,1.508
2019-01-08 17:00,1.734
2019-01-08 18:00,1.847
2019-01-08 19:00,1.638
2019-01-08 20:00,1.407
2019-01-08 21:00,1.115
2019-01-08 22:00,0.846
2019-01-08 23:00,0.671
2019-01-09 00:00,0.431
2019-01-09 01:00,0.191
2019-01-09 02:00,-0.121
2019-01-09 03:00,-0.384
2019-01-09 04:00,-0.565
2019-01-09 05:00,-0.703
2019-01-09 06:00,-0.846
2019-01-09 07:00,-0.918
2019-01-09 08:00,-0.447
2019-01-09 09:00,0.226
2019-01-09 10:00,0.896
2019-01-09 11:00,1.314
2019-01-09 12:00,1.204
2019-01-09 13:00,1.107
2019-01-09 14:00,1.055
2019-01-09 15:00,0.624
2019-01-09 16:00,0.084
2019-01-09 17:00,-0.344
2019-01-09 18:00,-0.889
2019-01-09 19:00,-1.374
2019-01-09 20:00,-1.678
2019-01-09 21:00,-1.725
2019-01-09 22:00,-1.715
2019-01-09 23:00,-1.756
2019-01-10 00:00,-1.790
2019-01-10 01:00,-1.981
2019-01-10 02:00,-2.320
2019-01-10 03:00,-2.658
2019-01-10 04:00,-3.020
2019-01-10 05:00,-3.312
2019-01-10 06:00,-3.562
2019-01-10 07:00,-3.630
2019-01-10 08:00,-2.690
2019-01-10 09:00,-1.225
2019-01-10 10:00,0.235
2019-01-10 11:00,1.196
2019-01-10 12:00,1.641
2019-01-10 13:00,1.620
2019-01-10 14:00,1.099
2019-01-10 15:00,-0.128
2019-01-10 16:00,-1.499
2019-01-10 17:00,-2.404
2019-01-10 18:00,-3.117
2019-01-10 19:00,-3.593
2019-01-10 20:00,-3.969
2019-01-10 21:00,-4.121
2019-01-10 22:00,-4.418
2019-01-10 23:00,-4.603
2019-01-11 00:00,-4.815
2019-01-11 01:00,-4.794
2019-01-11 02:00,-4.717
2019-01-11 03:00,-4.663
2019-01-11 04:00,-4.682
2019-01-11 05:00,-4.749
2019-01-11 06:00,-4.850
2019-01-11 07:00,-4.714
2019-01-11 08:00,-3.439
2019-01-11 09:00,-1.847
2019-01-11 10:00,-0.411
2019-01-11 11:00,0.600
2019-01-11 12:00,1.093
2019-01-11 13:00,1.113
2019-01-11 14:00,0.571
2019-01-11 15:00,-1.222
2019-01-11 16:00,-3.201
2019-01-11 17:00,-3.358
2019-01-11 18:00,-3.734
2019-01-11 19:00,-4.108
2019-01-11 20:00,-4.176
2019-01-11 21:00,-4.005
2019-01-11 22:00,-3.742
2019-01-11 23:00,-3.434
2019-01-12 00:00,-3.177
2019-01-12 01:00,-2.928
2019-01-12 02:00,-2.746
2019-01-12 03:00,-2.617
2019-01-12 04:00,-2.629
2019-01-12 05:00,-2.548
2019-01-12 06:00,-2.390
2019-01-12 07:00,-2.102
2019-01-12 08:00,-0.622
2019-01-12 09:00,0.871
2019-01-12 10:00,2.128
2019-01-12 11:00,2.872
2019-01-12 12:00,3.122
2019-01-12 13:00,3.026
2019-01-12 14:00,2.616
2019-01-12 15:00,1.374
2019-01-12 16:00,0.108
2019-01-12 17:00,-0.120
2019-01-12 18:00,-0.341
2019-01-12 19:00,-0.293
2019-01-12 20:00,-0.203
2019-01-12 21:00,-0.038
2019-01-12 22:00,-0.138
2019-01-12 23:00,-0.012
2019-01-13 00:00,0.213
2019-01-13 01:00,0.357
2019-01-13 02:00,0.491
2019-01-13 03:00,0.711
2019-01-13 04:00,0.881
2019-01-13 05:00,1.179
2019-01-13 06:00,1.313
2019-01-13 07:00,1.457
2019-01-13 08:00,1.915
2019-01-13 09:00,2.331
2019-01-13 10:00,2.705
2019-01-13 11:00,2.959
2019-01-13 12:00,3.193
2019-01-13 13:00,3.283
2019-01-13 14:00,3.197
2019-01-13 15:00,3.100
2019-01-13 16:00,3.026
2019-01-13 17:00,3.195
2019-01-13 18:00,3.409
2019-01-13 19:00,3.504
2019-01-13 20:00,3.429
2019-01-13 21:00,3.438
2019-01-13 22:00,3.369
2019-01-13 23:00,3.313
2019-01-14 00:00,3.235
2019-01-14 01:00,3.262
2019-01-14 02:00,3.390
2019-01-14 03:00,3.477
2019-01-14 04:00,3.589
2019-01-14 05:00,3.738
2019-01-14 06:00,3.641
2019-01-14 07:00,3.247
2019-01-14 08:00,3.724
2019-01-14 09:00,4.411
2019-01-14 10:00,4.901
2019-01-14 11:00,5.205
2019-01-14 12:00,5.365
2019-01-14 13:00,5.147
2019-01-14 14:00,4.494
2019-01-14 15:00,3.145
2019-01-14 16:00,1.641
2019-01-14 17:00,1.129
2019-01-14 18:00,0.930
2019-01-14 19:00,0.493
2019-01-14 20:00,-0.012
2019-01-14 21:00,-0.546
2019-01-14 22:00,-0.982
2019-01-14 23:00,-1.106
2019-01-15 00:00,-0.994
2019-01-15 01:00,-1.341
2019-01-15 02:00,-1.710
2019-01-15 03:00,-1.946
2019-01-15 04:00,-1.911
2019-01-15 05:00,-1.787
2019-01-15 06:00,-1.852
2019-01-15 07:00,-1.697
2019-01-15 08:00,-0.139
2019-01-15 09:00,1.631
2019-01-15 10:00,3.155
2019-01-15 11:00,4.297
2019-01-15 12:00,5.071
2019-01-15 13:00,5.191
2019-01-15 14:00,4.628
2019-01-15 15:00,2.258
2019-01-15 16:00,-0.192
2019-01-15 17:00,-0.739
2019-01-15 18:00,-0.943
2019-01-15 19:00,-0.920
2019-01-15 20:00,-0.828
2019-01-15 21:00,-0.667
2019-01-15 22:00,-0.757
2019-01-15 23:00,-1.001
2019-01-16 00:00,-1.435
2019-01-16 01:00,-1.887
2019-01-16 02:00,-2.194
2019-01-16 03:00,-2.437
