# Renewables.ninja Wind power (Point API) - 52.072, 5.746 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, electricity in kW
# {"units": {"time": "UTC", "electricity": "kW"}, "params": {"lat": "52.07168255", "lon": "5.745510631034939", "date_from": "2019-01-01", "date_to": "2019-12-31", "capacity": "150", "height": "30", "turbine": "Nordex N27 150"}}
time,electricity
2019-01-01 00:00,48.663
2019-01-01 01:00,48.611
2019-01-01 02:00,56.990
2019-01-01 03:00,55.323
2019-01-01 04:00,61.636
2019-01-01 05:00,70.589
2019-01-01 06:00,78.808
2019-01-01 07:00,78.403
2019-01-01 08:00,74.925
2019-01-01 09:00,69.664
2019-01-01 10:00,56.989
2019-01-01 11:00,66.548
2019-01-01 12:00,75.445
2019-01-01 13:00,74.172
2019-01-01 14:00,69.693
2019-01-01 15:00,73.063
2019-01-01 16:00,78.179
2019-01-01 17:00,81.264
2019-01-01 18:00,84.473
2019-01-01 19:00,87.520
2019-01-01 20:00,83.228
2019-01-01 21:00,81.264
2019-01-01 22:00,88.088
2019-01-01 23:00,90.060
2019-01-02 00:00,93.723
2019-01-02 01:00,93.770
2019-01-02 02:00,89.374
2019-01-02 03:00,83.854
2019-01-02 04:00,80.166
2019-01-02 05:00,73.128
2019-01-02 06:00,66.249
2019-01-02 07:00,58.980
2019-01-02 08:00,49.517
2019-01-02 09:00,40.745
2019-01-02 10:00,38.130
2019-01-02 11:00,49.668
2019-01-02 12:00,50.806
2019-01-02 13:00,43.083
2019-01-02 14:00,35.404
2019-01-02 15:00,36.644
2019-01-02 16:00,37.793
2019-01-02 17:00,34.921
2019-01-02 18:00,30.513
2019-01-02 19:00,27.100
2019-01-02 20:00,25.516
2019-01-02 21:00,24.503
2019-01-02 22:00,24.196
2019-01-02 23:00,24.430
2019-01-03 00:00,24.356
2019-01-03 01:00,23.663
2019-01-03 02:00,23.611
2019-01-03 03:00,24.649
2019-01-03 04:00,27.575
2019-01-03 05:00,28.960
2019-01-03 06:00,30.046
2019-01-03 07:00,31.435
2019-01-03 08:00,32.170
2019-01-03 09:00,28.602
2019-01-03 10:00,21.145
2019-01-03 11:00,29.840
2019-01-03 12:00,33.114
2019-01-03 13:00,26.292
2019-01-03 14:00,24.418
2019-01-03 15:00,28.477
2019-01-03 16:00,32.016
2019-01-03 17:00,31.521
2019-01-03 18:00,27.229
2019-01-03 19:00,20.992
2019-01-03 20:00,18.103
2019-01-03 21:00,19.967
2019-01-03 22:00,19.330
2019-01-03 23:00,16.143
2019-01-04 00:00,14.469
2019-01-04 01:00,14.845
2019-01-04 02:00,17.009
2019-01-04 03:00,18.910
2019-01-04 04:00,21.941
2019-01-04 05:00,27.191
2019-01-04 06:00,30.726
2019-01-04 07:00,32.884
2019-01-04 08:00,32.448
2019-01-04 09:00,35.138
2019-01-04 10:00,38.259
2019-01-04 11:00,41.634
2019-01-04 12:00,43.548
2019-01-04 13:00,42.154
2019-01-04 14:00,40.629
2019-01-04 15:00,37.935
2019-01-04 16:00,36.929
2019-01-04 17:00,36.215
2019-01-04 18:00,32.760
2019-01-04 19:00,31.872
2019-01-04 20:00,34.656
2019-01-04 21:00,35.170
2019-01-04 22:00,37.551
2019-01-04 23:00,41.299
2019-01-05 00:00,46.095
2019-01-05 01:00,50.473
2019-01-05 02:00,55.128
2019-01-05 03:00,62.648
2019-01-05 04:00,69.673
2019-01-05 05:00,71.203
2019-01-05 06:00,69.667
2019-01-05 07:00,73.100
2019-01-05 08:00,81.541
2019-01-05 09:00,80.658
2019-01-05 10:00,79.459
2019-01-05 11:00,75.735
2019-01-05 12:00,71.760
2019-01-05 13:00,72.157
2019-01-05 14:00,70.140
2019-01-05 15:00,67.001
2019-01-05 16:00,66.102
2019-01-05 17:00,60.056
2019-01-05 18:00,62.720
2019-01-05 19:00,61.265
2019-01-05 20:00,57.832
2019-01-05 21:00,63.215
2019-01-05 22:00,53.873
2019-01-05 23:00,52.433
2019-01-06 00:00,46.190
2019-01-06 01:00,42.752
2019-01-06 02:00,39.760
2019-01-06 03:00,38.266
2019-01-06 04:00,36.778
2019-01-06 05:00,37.234
2019-01-06 06:00,33.331
2019-01-06 07:00,32.388
2019-01-06 08:00,30.721
2019-01-06 09:00,26.245
2019-01-06 10:00,20.162
2019-01-06 11:00,18.732
2019-01-06 12:00,19.342
