# Renewables.ninja Wind power (Point API) - 35.053, 33.213 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, electricity in kW
# {"units": {"time": "UTC", "electricity": "kW"}, "params": {"lat": "35.05327139", "lon": "33.21302205", "date_from": "2019-01-01", "date_to": "2019-12-31", "capacity": "150", "height": "30", "turbine": "Nordex N27 150"}}
time,electricity
2019-01-01 00:00,103.624
2019-01-01 01:00,102.979
2019-01-01 02:00,97.763
2019-01-01 03:00,87.227
2019-01-01 04:00,72.605
2019-01-01 05:00,57.868
2019-01-01 06:00,44.437
2019-01-01 07:00,32.277
2019-01-01 08:00,20.377
2019-01-01 09:00,12.504
2019-01-01 10:00,7.353
2019-01-01 11:00,6.009
2019-01-01 12:00,9.563
2019-01-01 13:00,17.017
2019-01-01 14:00,24.155
2019-01-01 15:00,31.289
2019-01-01 16:00,35.736
2019-01-01 17:00,34.320
2019-01-01 18:00,30.317
2019-01-01 19:00,26.505
2019-01-01 20:00,24.169
2019-01-01 21:00,24.177
2019-01-01 22:00,25.607
2019-01-01 23:00,27.538
2019-01-02 00:00,29.080
2019-01-02 01:00,32.933
2019-01-02 02:00,39.149
2019-01-02 03:00,46.849
2019-01-02 04:00,57.870
2019-01-02 05:00,69.692
2019-01-02 06:00,87.110
2019-01-02 07:00,110.263
2019-01-02 08:00,126.201
2019-01-02 09:00,129.605
2019-01-02 10:00,130.095
2019-01-02 11:00,129.403
2019-01-02 12:00,127.662
2019-01-02 13:00,125.717
2019-01-02 14:00,126.564
2019-01-02 15:00,120.879
2019-01-02 16:00,113.694
2019-01-02 17:00,112.912
2019-01-02 18:00,113.731
2019-01-02 19:00,112.070
2019-01-02 20:00,110.610
2019-01-02 21:00,108.993
2019-01-02 22:00,101.415
2019-01-02 23:00,93.384
2019-01-03 00:00,87.752
2019-01-03 01:00,89.459
2019-01-03 02:00,85.692
2019-01-03 03:00,81.264
2019-01-03 04:00,79.261
2019-01-03 05:00,75.873
2019-01-03 06:00,76.704
2019-01-03 07:00,79.284
2019-01-03 08:00,84.097
2019-01-03 09:00,90.367
2019-01-03 10:00,94.490
2019-01-03 11:00,96.238
