# Renewables.ninja Wind power (Point API) - 57.482, -4.783 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, electricity in kW
# {"units": {"time": "UTC", "electricity": "kW"}, "params": {"lat": "57.48221527", "lon": "-4.783219763", "date_from": "2019-01-01", "date_to": "2019-12-31", "capacity": "150", "height": "30", "turbine": "Nordex N27 150"}}
time,electricity
2019-01-01 00:00,104.990
2019-01-01 01:00,94.735
2019-01-01 02:00,84.191
2019-01-01 03:00,77.298
2019-01-01 04:00,68.121
2019-01-01 05:00,62.812
2019-01-01 06:00,58.854
2019-01-01 07:00,55.420
2019-01-01 08:00,49.661
2019-01-01 09:00,44.494
2019-01-01 10:00,41.990
2019-01-01 11:00,38.979
2019-01-01 12:00,33.018
2019-01-01 13:00,26.092
2019-01-01 14:00,21.115
2019-01-01 15:00,20.159
2019-01-01 16:00,18.236
2019-01-01 17:00,15.708
2019-01-01 18:00,12.704
2019-01-01 19:00,9.825
2019-01-01 20:00,7.447
2019-01-01 21:00,4.771
2019-01-01 22:00,2.669
2019-01-01 23:00,1.525
2019-01-02 00:00,0.903
2019-01-02 01:00,0.795
2019-01-02 02:00,1.387
2019-01-02 03:00,2.441
2019-01-02 04:00,4.050
2019-01-02 05:00,5.956
2019-01-02 06:00,7.787
2019-01-02 07:00,9.320
2019-01-02 08:00,10.898
2019-01-02 09:00,12.394
2019-01-02 10:00,12.622
2019-01-02 11:00,11.423
2019-01-02 12:00,10.296
2019-01-02 13:00,9.487
2019-01-02 14:00,8.960
2019-01-02 15:00,9.795
2019-01-02 16:00,11.749
2019-01-02 17:00,13.558
2019-01-02 18:00,14.519
2019-01-02 19:00,15.191
2019-01-02 20:00,15.386
2019-01-02 21:00,16.171
2019-01-02 22:00,18.380
2019-01-02 23:00,18.561
2019-01-03 00:00,17.333
2019-01-03 01:00,16.731
2019-01-03 02:00,18.514
2019-01-03 03:00,22.684
2019-01-03 04:00,26.078
2019-01-03 05:00,27.476
2019-01-03 06:00,28.951
2019-01-03 07:00,30.708
2019-01-03 08:00,31.211
2019-01-03 09:00,29.436
2019-01-03 10:00,28.656
2019-01-03 11:00,28.719
2019-01-03 12:00,23.821
2019-01-03 13:00,23.167
2019-01-03 14:00,26.637
2019-01-03 15:00,27.827
2019-01-03 16:00,27.770
2019-01-03 17:00,29.471
2019-01-03 18:00,36.754
2019-01-03 19:00,36.758
2019-01-03 20:00,32.205
2019-01-03 21:00,28.777
2019-01-03 22:00,28.032
2019-01-03 23:00,25.378
2019-01-04 00:00,29.175
2019-01-04 01:00,32.931
2019-01-04 02:00,36.594
2019-01-04 03:00,38.059
2019-01-04 04:00,39.449
2019-01-04 05:00,41.662
2019-01-04 06:00,42.119
2019-01-04 07:00,44.262
2019-01-04 08:00,47.632
2019-01-04 09:00,48.616
2019-01-04 10:00,48.200
2019-01-04 11:00,48.196
2019-01-04 12:00,46.746
2019-01-04 13:00,54.037
2019-01-04 14:00,54.324
2019-01-04 15:00,52.004
2019-01-04 16:00,52.006
2019-01-04 17:00,47.364
2019-01-04 18:00,42.287
2019-01-04 19:00,37.214
2019-01-04 20:00,32.384
2019-01-04 21:00,29.967
2019-01-04 22:00,31.327
2019-01-04 23:00,32.221
2019-01-05 00:00,32.697
2019-01-05 01:00,33.361
2019-01-05 02:00,33.196
2019-01-05 03:00,32.382
2019-01-05 04:00,33.528
2019-01-05 05:00,34.340
2019-01-05 06:00,33.908
2019-01-05 07:00,33.852
2019-01-05 08:00,35.114
2019-01-05 09:00,35.892
2019-01-05 10:00,35.928
2019-01-05 11:00,34.756
2019-01-05 12:00,34.082
2019-01-05 13:00,36.667
2019-01-05 14:00,41.292
2019-01-05 15:00,40.490
2019-01-05 16:00,39.348
2019-01-05 17:00,35.482
2019-01-05 18:00,44.890
2019-01-05 19:00,51.570
2019-01-05 20:00,47.527
2019-01-05 21:00,59.697
2019-01-05 22:00,67.485
2019-01-05 23:00,66.085
2019-01-06 00:00,59.411
2019-01-06 01:00,51.154
2019-01-06 02:00,40.726
2019-01-06 03:00,37.553
2019-01-06 04:00,35.043
2019-01-06 05:00,25.703
2019-01-06 06:00,20.278
2019-01-06 07:00,15.014
2019-01-06 08:00,10.125
2019-01-06 09:00,6.344
2019-01-06 10:00,3.966
2019-01-06 11:00,2.549
2019-01-06 12:00,1.827
2019-01-06 13:00,1.127
2019-01-06 14:00,0.630
2019-01-06 15:00,1.694
2019-01-06 16:00,4.818
2019-01-06 17:00,9.990
2019-01-06 18:00,16.508
2019-01-06 19:00,25.843
2019-01-06 20:00,36.717
2019-01-06 21:00,49.988
2019-01-06 22:00,64.983
2019-01-06 23:00,81.588
2019-01-07 00:00,92.900
2019-01-07 01:00,94.900
2019-01-07 02:00,118.454
2019-01-07 03:00,138.335
2019-01-07 04:00,143.254
2019-01-07 05:00,145.277
2019-01-07 06:00,145.352
2019-01-07 07:00,145.064
2019-01-07 08:00,143.901
2019-01-07 09:00,143.258
2019-01-07 10:00,145.299
2019-01-07 11:00,147.203
2019-01-07 12:00,147.900
2019-01-07 13:00,148.085
2019-01-07 14:00,148.121
2019-01-07 15:00,147.858
2019-01-07 16:00,147.145
2019-01-07 17:00,145.916
2019-01-07 18:00,143.040
2019-01-07 19:00,139.577
2019-01-07 20:00,135.769
2019-01-07 21:00,131.917
2019-01-07 22:00,127.688
2019-01-07 23:00,123.078
2019-01-08 00:00,116.611
2019-01-08 01:00,105.175
2019-01-08 02:00,94.643
2019-01-08 03:00,80.583
2019-01-08 04:00,67.205
2019-01-08 05:00,58.118
2019-01-08 06:00,56.539
2019-01-08 07:00,47.019
2019-01-08 08:00,45.780
2019-01-08 09:00,42.256
2019-01-08 10:00,44.007
2019-01-08 11:00,45.401
2019-01-08 12:00,44.900
2019-01-08 13:00,42.292
2019-01-08 14:00,37.375
2019-01-08 15:00,35.052
2019-01-08 16:00,33.664
2019-01-08 17:00,32.328
2019-01-08 18:00,30.198
2019-01-08 19:00,27.426
2019-01-08 20:00,24.197
2019-01-08 21:00,20.430
2019-01-08 22:00,15.346
2019-01-08 23:00,8.183
2019-01-09 00:00,2.856
2019-01-09 01:00,1.245
2019-01-09 02:00,0.876
2019-01-09 03:00,1.132
2019-01-09 04:00,1.369
2019-01-09 05:00,1.497
2019-01-09 06:00,4.284
2019-01-09 07:00,5.164
2019-01-09 08:00,5.592
2019-01-09 09:00,7.786
2019-01-09 10:00,9.999
2019-01-09 11:00,13.850
2019-01-09 12:00,15.776
2019-01-09 13:00,17.597
2019-01-09 14:00,19.842
2019-01-09 15:00,24.483
2019-01-09 16:00,32.087
2019-01-09 17:00,38.292
2019-01-09 18:00,41.294
2019-01-09 19:00,47.523
2019-01-09 20:00,51.287
2019-01-09 21:00,46.745
2019-01-09 22:00,42.619
2019-01-09 23:00,41.683
2019-01-10 00:00,39.700
2019-01-10 01:00,39.930
2019-01-10 02:00,38.565
2019-01-10 03:00,42.270
2019-01-10 04:00,49.028
2019-01-10 05:00,50.522
2019-01-10 06:00,50.005
2019-01-10 07:00,46.986
2019-01-10 08:00,50.205
2019-01-10 09:00,55.552
2019-01-10 10:00,55.461
2019-01-10 11:00,61.102
2019-01-10 12:00,64.273
2019-01-10 13:00,65.786
2019-01-10 14:00,64.253
2019-01-10 15:00,62.522
2019-01-10 16:00,59.854
2019-01-10 17:00,59.857
2019-01-10 18:00,56.777
2019-01-10 19:00,53.511
2019-01-10 20:00,47.674
2019-01-10 21:00,51.579
2019-01-10 22:00,52.667
2019-01-10 23:00,53.735
2019-01-11 00:00,51.571
2019-01-11 01:00,58.313
2019-01-11 02:00,58.099
2019-01-11 03:00,52.567
2019-01-11 04:00,47.687
2019-01-11 05:00,45.056
2019-01-11 06:00,36.534
2019-01-11 07:00,33.767
2019-01-11 08:00,36.551
2019-01-11 09:00,41.294
2019-01-11 10:00,42.525
2019-01-11 11:00,46.067
2019-01-11 12:00,47.546
2019-01-11 13:00,52.610
2019-01-11 14:00,58.314
2019-01-11 15:00,59.391
2019-01-11 16:00,61.376
2019-01-11 17:00,64.084
2019-01-11 18:00,76.601
2019-01-11 19:00,88.874
2019-01-11 20:00,100.394
2019-01-11 21:00,114.275
2019-01-11 22:00,126.365
2019-01-11 23:00,127.057
2019-01-12 00:00,128.021
2019-01-12 01:00,128.177
2019-01-12 02:00,126.793
2019-01-12 03:00,122.381
2019-01-12 04:00,119.393
2019-01-12 05:00,119.586
2019-01-12 06:00,121.642
2019-01-12 07:00,122.933
2019-01-12 08:00,122.707
2019-01-12 09:00,122.703
2019-01-12 10:00,119.520
2019-01-12 11:00,114.887
2019-01-12 12:00,112.066
2019-01-12 13:00,115.612
2019-01-12 14:00,118.506
2019-01-12 15:00,121.761
2019-01-12 16:00,124.499
2019-01-12 17:00,122.611
2019-01-12 18:00,121.062
2019-01-12 19:00,122.245
2019-01-12 20:00,126.793
2019-01-12 21:00,132.573
2019-01-12 22:00,134.610
2019-01-12 23:00,136.262
2019-01-13 00:00,137.038
2019-01-13 01:00,135.956
2019-01-13 02:00,132.668
2019-01-13 03:00,131.329
2019-01-13 04:00,134.480
2019-01-13 05:00,138.734
2019-01-13 06:00,139.343
2019-01-13 07:00,138.928
2019-01-13 08:00,138.339
2019-01-13 09:00,135.119
2019-01-13 10:00,131.408
2019-01-13 11:00,129.750
2019-01-13 12:00,128.694
2019-01-13 13:00,126.573
2019-01-13 14:00,122.975
2019-01-13 15:00,117.975
2019-01-13 16:00,111.774
2019-01-13 17:00,104.420
2019-01-13 18:00,86.249
2019-01-13 19:00,59.673
2019-01-13 20:00,41.684
2019-01-13 21:00,25.784
2019-01-13 22:00,16.272
2019-01-13 23:00,12.729
2019-01-14 00:00,10.643
2019-01-14 01:00,9.466
2019-01-14 02:00,7.663
2019-01-14 03:00,4.149
2019-01-14 04:00,1.176
2019-01-14 05:00,1.082
2019-01-14 06:00,4.641
2019-01-14 07:00,11.349
2019-01-14 08:00,19.194
2019-01-14 09:00,27.370
2019-01-14 10:00,39.112
2019-01-14 11:00,48.448
2019-01-14 12:00,59.314
2019-01-14 13:00,63.790
2019-01-14 14:00,61.240
2019-01-14 15:00,51.952
2019-01-14 16:00,56.561
2019-01-14 17:00,62.180
2019-01-14 18:00,77.833
2019-01-14 19:00,91.717
2019-01-14 20:00,101.413
2019-01-14 21:00,113.326
2019-01-14 22:00,120.404
2019-01-14 23:00,125.913
2019-01-15 00:00,128.611
2019-01-15 01:00,128.514
2019-01-15 02:00,124.665
2019-01-15 03:00,117.765
2019-01-15 04:00,107.567
2019-01-15 05:00,92.142
2019-01-15 06:00,75.283
2019-01-15 07:00,53.944
2019-01-15 08:00,40.820
2019-01-15 09:00,36.277
2019-01-15 10:00,35.098
2019-01-15 11:00,56.781
2019-01-15 12:00,92.544
2019-01-15 13:00,122.047
2019-01-15 14:00,128.633
2019-01-15 15:00,131.791
2019-01-15 16:00,132.331
2019-01-15 17:00,133.521
2019-01-15 18:00,136.147
2019-01-15 19:00,137.626
