# Renewables.ninja Wind power (Point API) - 41.550, -5.139 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, electricity in kW
# {"units": {"time": "UTC", "electricity": "kW"}, "params": {"lat": "41.55", "lon": "-5.1387", "date_from": "2019-01-01", "date_to": "2019-12-31", "capacity": "150", "height": "30", "turbine": "Nordex N27 150"}}
time,electricity
2019-01-01 00:00,10.002
2019-01-01 01:00,11.544
2019-01-01 02:00,13.493
2019-01-01 03:00,14.405
2019-01-01 04:00,14.654
2019-01-01 05:00,14.684
2019-01-01 06:00,14.082
2019-01-01 07:00,12.932
2019-01-01 08:00,11.435
2019-01-01 09:00,7.666
2019-01-01 10:00,3.485
2019-01-01 11:00,5.205
2019-01-01 12:00,7.340
2019-01-01 13:00,8.255
2019-01-01 14:00,8.331
2019-01-01 15:00,6.823
2019-01-01 16:00,7.674
2019-01-01 17:00,7.707
2019-01-01 18:00,7.871
2019-01-01 19:00,9.901
2019-01-01 20:00,14.592
2019-01-01 21:00,20.586
2019-01-01 22:00,23.837
2019-01-01 23:00,23.361
2019-01-02 00:00,21.341
2019-01-02 01:00,20.199
2019-01-02 02:00,18.823
2019-01-02 03:00,17.904
2019-01-02 04:00,17.173
2019-01-02 05:00,17.291
2019-01-02 06:00,15.467
2019-01-02 07:00,13.501
2019-01-02 08:00,16.157
2019-01-02 09:00,21.575
2019-01-02 10:00,24.413
2019-01-02 11:00,32.014
2019-01-02 12:00,41.292
2019-01-02 13:00,49.667
2019-01-02 14:00,56.135
2019-01-02 15:00,53.943
2019-01-02 16:00,62.521
2019-01-02 17:00,82.324
2019-01-02 18:00,89.432
2019-01-02 19:00,86.677
2019-01-02 20:00,78.247
2019-01-02 21:00,68.296
2019-01-02 22:00,58.135
2019-01-02 23:00,52.001
2019-01-03 00:00,45.193
2019-01-03 01:00,43.305
2019-01-03 02:00,39.349
2019-01-03 03:00,35.456
2019-01-03 04:00,36.247
2019-01-03 05:00,34.989
2019-01-03 06:00,36.306
