# Renewables.ninja Wind power (Point API) - 46.050, 14.507 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Ljubljana, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Ljubljana", "electricity": "kW"}, "params": {"local_time": "true", "header": "true", "lat": "46.0500268", "lon": "14.5069289", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "150", "height": "30", "turbine": "Nordex N27 150", "raw": "false"}}
time,local_time,electricity
2019-01-01 00:00,2019-01-01 01:00,6.165
2019-01-01 01:00,2019-01-01 02:00,4.835
2019-01-01 02:00,2019-01-01 03:00,3.581
2019-01-01 03:00,2019-01-01 04:00,2.568
2019-01-01 04:00,2019-01-01 05:00,1.707
2019-01-01 05:00,2019-01-01 06:00,1.106
2019-01-01 06:00,2019-01-01 07:00,1.253
2019-01-01 07:00,2019-01-01 08:00,1.573
2019-01-01 08:00,2019-01-01 09:00,1.851
2019-01-01 09:00,2019-01-01 10:00,3.147
2019-01-01 10:00,2019-01-01 11:00,5.938
2019-01-01 11:00,2019-01-01 12:00,8.231
2019-01-01 12:00,2019-01-01 13:00,8.733
2019-01-01 13:00,2019-01-01 14:00,7.106
2019-01-01 14:00,2019-01-01 15:00,7.214
2019-01-01 15:00,2019-01-01 16:00,10
2019-01-01 16:00,2019-01-01 17:00,12.025
2019-01-01 17:00,2019-01-01 18:00,12.572
2019-01-01 18:00,2019-01-01 19:00,10.310
2019-01-01 19:00,2019-01-01 20:00,8.376
2019-01-01 20:00,2019-01-01 21:00,7.437
2019-01-01 21:00,2019-01-01 22:00,7.000
2019-01-01 22:00,2019-01-01 23:00,5.802
2019-01-01 23:00,2019-01-02 00:00,4.762
2019-01-02 00:00,2019-01-02 01:00,3.721
2019-01-02 01:00,2019-01-02 02:00,2.666
2019-01-02 02:00,2019-01-02 03:00,2.757
2019-01-02 03:00,2019-01-02 04:00,6.001
2019-01-02 04:00,2019-01-02 05:00,16.677
2019-01-02 05:00,2019-01-02 06:00,18.044
2019-01-02 06:00,2019-01-02 07:00,15.809
2019-01-02 07:00,2019-01-02 08:00,15.160
2019-01-02 08:00,2019-01-02 09:00,11.215
2019-01-02 09:00,2019-01-02 10:00,11.876
2019-01-02 10:00,2019-01-02 11:00,19.676
2019-01-02 11:00,2019-01-02 12:00,29.325
2019-01-02 12:00,2019-01-02 13:00,41.217
2019-01-02 13:00,2019-01-02 14:00,41.582
2019-01-02 14:00,2019-01-02 15:00,33.203
2019-01-02 15:00,2019-01-02 16:00,27.408
2019-01-02 16:00,2019-01-02 17:00,24.264
2019-01-02 17:00,2019-01-02 18:00,22.332
2019-01-02 18:00,2019-01-02 19:00,22.134
2019-01-02 19:00,2019-01-02 20:00,22.155
2019-01-02 20:00,2019-01-02 21:00,22.488
2019-01-02 21:00,2019-01-02 22:00,24.418
2019-01-02 22:00,2019-01-02 23:00,25.869
2019-01-02 23:00,2019-01-03 00:00,25.385
2019-01-03 00:00,2019-01-03 01:00,25.077
2019-01-03 01:00,2019-01-03 02:00,26.084
2019-01-03 02:00,2019-01-03 03:00,27.934
2019-01-03 03:00,2019-01-03 04:00,29.249
2019-01-03 04:00,2019-01-03 05:00,27.455
2019-01-03 05:00,2019-01-03 06:00,26.630
2019-01-03 06:00,2019-01-03 07:00,27.941
2019-01-03 07:00,2019-01-03 08:00,26.868
