# Renewables.ninja Wind power (Point API) - 62.318, 23.715 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, electricity in kW
# {"units": {"time": "UTC", "electricity": "kW"}, "params": {"lat": "62.31787143", "lon": "23.71525283", "date_from": "2019-01-01", "date_to": "2019-12-31", "capacity": "150", "height": "30", "turbine": "Nordex N27 150"}}
time,electricity
2019-01-01 00:00,35.111
2019-01-01 01:00,30.696
2019-01-01 02:00,23.875
2019-01-01 03:00,18.307
2019-01-01 04:00,14.268
2019-01-01 05:00,12.349
2019-01-01 06:00,8.602
2019-01-01 07:00,7.310
2019-01-01 08:00,6.109
2019-01-01 09:00,4.725
2019-01-01 10:00,5.251
2019-01-01 11:00,4.873
2019-01-01 12:00,6.281
2019-01-01 13:00,10.931
2019-01-01 14:00,14.085
2019-01-01 15:00,20.919
2019-01-01 16:00,26.135
2019-01-01 17:00,30.921
2019-01-01 18:00,42.073
2019-01-01 19:00,60.968
2019-01-01 20:00,76.914
2019-01-01 21:00,97.367
2019-01-01 22:00,110.276
2019-01-01 23:00,114.737
2019-01-02 00:00,113.410
2019-01-02 01:00,114.581
2019-01-02 02:00,113.187
2019-01-02 03:00,109.758
2019-01-02 04:00,105.549
2019-01-02 05:00,99.512
2019-01-02 06:00,90.057
2019-01-02 07:00,81.313
2019-01-02 08:00,73.122
2019-01-02 09:00,67.099
2019-01-02 10:00,62.674
2019-01-02 11:00,57.867
2019-01-02 12:00,55.342
2019-01-02 13:00,52.733
2019-01-02 14:00,49.036
2019-01-02 15:00,45.563
2019-01-02 16:00,41.691
2019-01-02 17:00,34.968
2019-01-02 18:00,31.268
2019-01-02 19:00,26.241
2019-01-02 20:00,21.788
2019-01-02 21:00,20.530
2019-01-02 22:00,18.631
2019-01-02 23:00,17.796
2019-01-03 00:00,16.324
2019-01-03 01:00,14.390
2019-01-03 02:00,13.164
2019-01-03 03:00,12.877
2019-01-03 04:00,11.510
2019-01-03 05:00,9.519
2019-01-03 06:00,7.887
2019-01-03 07:00,6.842
2019-01-03 08:00,5.699
2019-01-03 09:00,4.176
2019-01-03 10:00,2.820
2019-01-03 11:00,2.457
2019-01-03 12:00,2.706
2019-01-03 13:00,4.816
2019-01-03 14:00,9.322
2019-01-03 15:00,12.266
2019-01-03 16:00,12.541
2019-01-03 17:00,15.037
2019-01-03 18:00,18.802
2019-01-03 19:00,22.094
2019-01-03 20:00,24.832
2019-01-03 21:00,25.204
2019-01-03 22:00,22.376
2019-01-03 23:00,17.515
2019-01-04 00:00,13.368
2019-01-04 01:00,11.210
2019-01-04 02:00,12.270
2019-01-04 03:00,9.812
2019-01-04 04:00,8.812
2019-01-04 05:00,7.793
2019-01-04 06:00,7.170
2019-01-04 07:00,7.404
2019-01-04 08:00,8.282
2019-01-04 09:00,9.418
2019-01-04 10:00,8.269
2019-01-04 11:00,9.021
2019-01-04 12:00,11.554
2019-01-04 13:00,13.876
2019-01-04 14:00,15.992
2019-01-04 15:00,16.831
2019-01-04 16:00,17.384
2019-01-04 17:00,17.028
2019-01-04 18:00,15.513
2019-01-04 19:00,13.436
2019-01-04 20:00,11.258
2019-01-04 21:00,11.347
2019-01-04 22:00,13.872
2019-01-04 23:00,15.436
2019-01-05 00:00,15.798
2019-01-05 01:00,15.473
2019-01-05 02:00,13.229
2019-01-05 03:00,13.113
2019-01-05 04:00,13.008
2019-01-05 05:00,14.290
2019-01-05 06:00,15.518
2019-01-05 07:00,13.961
2019-01-05 08:00,11.409
2019-01-05 09:00,7.661
2019-01-05 10:00,4.954
2019-01-05 11:00,4.460
2019-01-05 12:00,4.874
2019-01-05 13:00,4.900
2019-01-05 14:00,4.583
2019-01-05 15:00,4.153
2019-01-05 16:00,3.775
2019-01-05 17:00,3.407
2019-01-05 18:00,2.939
2019-01-05 19:00,2.868
2019-01-05 20:00,4.109
2019-01-05 21:00,7.847
2019-01-05 22:00,12.158
2019-01-05 23:00,14.488
2019-01-06 00:00,18.208
2019-01-06 01:00,20.602
2019-01-06 02:00,18.446
2019-01-06 03:00,17.318
2019-01-06 04:00,15.146
2019-01-06 05:00,11.733
2019-01-06 06:00,11.522
2019-01-06 07:00,12.887
2019-01-06 08:00,16.163
2019-01-06 09:00,15.663
2019-01-06 10:00,14.463
2019-01-06 11:00,12.803
2019-01-06 12:00,14.846
2019-01-06 13:00,16.262
2019-01-06 14:00,13.874
2019-01-06 15:00,13.818
2019-01-06 16:00,14.143
2019-01-06 17:00,15.201
2019-01-06 18:00,15.823
2019-01-06 19:00,14.097
2019-01-06 20:00,13.359
2019-01-06 21:00,13.543
2019-01-06 22:00,13.820
2019-01-06 23:00,13.800
2019-01-07 00:00,13.617
2019-01-07 01:00,13.692
2019-01-07 02:00,13.851
2019-01-07 03:00,13.929
2019-01-07 04:00,15.436
2019-01-07 05:00,19.214
2019-01-07 06:00,18.811
2019-01-07 07:00,17.231
2019-01-07 08:00,14.742
2019-01-07 09:00,13.444
2019-01-07 10:00,10.950
2019-01-07 11:00,9.151
2019-01-07 12:00,8.749
2019-01-07 13:00,8.753
2019-01-07 14:00,7.848
2019-01-07 15:00,7.346
2019-01-07 16:00,6.412
2019-01-07 17:00,5.660
2019-01-07 18:00,6.605
2019-01-07 19:00,6.952
2019-01-07 20:00,7.322
2019-01-07 21:00,7.791
2019-01-07 22:00,7.984
2019-01-07 23:00,7.710
2019-01-08 00:00,6.819
2019-01-08 01:00,5.978
2019-01-08 02:00,5.329
2019-01-08 03:00,4.989
2019-01-08 04:00,4.326
2019-01-08 05:00,4.253
2019-01-08 06:00,5.065
2019-01-08 07:00,5.639
2019-01-08 08:00,5.313
2019-01-08 09:00,4.446
2019-01-08 10:00,3.529
2019-01-08 11:00,3.648
2019-01-08 12:00,4.471
2019-01-08 13:00,5.802
2019-01-08 14:00,6.770
