# Renewables.ninja Wind power (Point API) - 52.742, -2.415 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, electricity in kW
# {"units": {"time": "UTC", "electricity": "kW"}, "params": {"lat": "52.74161072", "lon": "-2.415424112", "date_from": "2019-01-01", "date_to": "2019-12-31", "capacity": "150", "height": "30", "turbine": "Nordex N27 150"}}
time,electricity
2019-01-01 00:00,57.427
2019-01-01 01:00,56.946
2019-01-01 02:00,54.464
2019-01-01 03:00,58.312
2019-01-01 04:00,62.523
2019-01-01 05:00,61.697
2019-01-01 06:00,58.973
2019-01-01 07:00,55.752
2019-01-01 08:00,51.897
2019-01-01 09:00,46.652
2019-01-01 10:00,40.808
2019-01-01 11:00,47.158
2019-01-01 12:00,52.888
2019-01-01 13:00,50.049
2019-01-01 14:00,43.441
2019-01-01 15:00,36.906
2019-01-01 16:00,33.976
2019-01-01 17:00,31.981
2019-01-01 18:00,29.975
2019-01-01 19:00,28.894
2019-01-01 20:00,27.676
2019-01-01 21:00,24.679
2019-01-01 22:00,19.804
2019-01-01 23:00,13.873
2019-01-02 00:00,11.457
2019-01-02 01:00,9.854
2019-01-02 02:00,8.427
2019-01-02 03:00,6.972
2019-01-02 04:00,7.014
2019-01-02 05:00,7.926
2019-01-02 06:00,8.511
2019-01-02 07:00,8.797
2019-01-02 08:00,8.397
2019-01-02 09:00,6.434
2019-01-02 10:00,3.764
2019-01-02 11:00,2.024
2019-01-02 12:00,1.465
2019-01-02 13:00,1.238
2019-01-02 14:00,1.234
2019-01-02 15:00,1.595
2019-01-02 16:00,1.638
2019-01-02 17:00,1.326
2019-01-02 18:00,0.912
2019-01-02 19:00,0.775
2019-01-02 20:00,1.198
2019-01-02 21:00,1.883
2019-01-02 22:00,2.450
2019-01-02 23:00,2.942
2019-01-03 00:00,3.103
2019-01-03 01:00,2.428
2019-01-03 02:00,1.702
2019-01-03 03:00,1.441
2019-01-03 04:00,1.369
2019-01-03 05:00,1.273
2019-01-03 06:00,1.267
2019-01-03 07:00,1.732
2019-01-03 08:00,2.629
2019-01-03 09:00,3.392
2019-01-03 10:00,3.544
2019-01-03 11:00,3.006
2019-01-03 12:00,1.730
2019-01-03 13:00,0.727
2019-01-03 14:00,0.769
2019-01-03 15:00,1.395
2019-01-03 16:00,1.740
2019-01-03 17:00,1.652
2019-01-03 18:00,1.712
2019-01-03 19:00,1.981
2019-01-03 20:00,2.429
2019-01-03 21:00,3.148
2019-01-03 22:00,3.667
2019-01-03 23:00,4.510
2019-01-04 00:00,6.111
2019-01-04 01:00,6.470
2019-01-04 02:00,4.611
2019-01-04 03:00,3.458
2019-01-04 04:00,4.003
2019-01-04 05:00,5.554
2019-01-04 06:00,6.296
2019-01-04 07:00,8.335
2019-01-04 08:00,11.663
2019-01-04 09:00,13.340
2019-01-04 10:00,10.041
2019-01-04 11:00,7.806
2019-01-04 12:00,7.789
2019-01-04 13:00,8.046
2019-01-04 14:00,9.799
2019-01-04 15:00,14.109
2019-01-04 16:00,17.914
2019-01-04 17:00,20.220
2019-01-04 18:00,21.850
2019-01-04 19:00,22.442
2019-01-04 20:00,21.968
2019-01-04 21:00,21.158
2019-01-04 22:00,20.669
2019-01-04 23:00,20.611
2019-01-05 00:00,20.360
2019-01-05 01:00,19.468
2019-01-05 02:00,18.549
2019-01-05 03:00,18.205
2019-01-05 04:00,18.430
2019-01-05 05:00,18.719
2019-01-05 06:00,18.703
2019-01-05 07:00,18.687
2019-01-05 08:00,18.513
2019-01-05 09:00,17.927
2019-01-05 10:00,17.152
2019-01-05 11:00,17.445
2019-01-05 12:00,19.889
2019-01-05 13:00,22.109
2019-01-05 14:00,24.551
2019-01-05 15:00,27.983
2019-01-05 16:00,30.624
2019-01-05 17:00,31.605
2019-01-05 18:00,31.329
2019-01-05 19:00,30.334
2019-01-05 20:00,28.777
2019-01-05 21:00,27.679
2019-01-05 22:00,27.575
2019-01-05 23:00,27.459
2019-01-06 00:00,27.319
2019-01-06 01:00,27.399
2019-01-06 02:00,26.225
2019-01-06 03:00,26.137
2019-01-06 04:00,27.818
2019-01-06 05:00,31.202
2019-01-06 06:00,32.835
2019-01-06 07:00,32.994
2019-01-06 08:00,32.328
2019-01-06 09:00,30.098
2019-01-06 10:00,26.176
2019-01-06 11:00,21.251
2019-01-06 12:00,18.590
2019-01-06 13:00,19.095
2019-01-06 14:00,21.874
2019-01-06 15:00,23.797
2019-01-06 16:00,24.358
2019-01-06 17:00,22.217
2019-01-06 18:00,18.725
2019-01-06 19:00,16.188
2019-01-06 20:00,15.265
2019-01-06 21:00,17.447
2019-01-06 22:00,23.819
2019-01-06 23:00,30.958
2019-01-07 00:00,33.063
2019-01-07 01:00,34.490
2019-01-07 02:00,37.273
2019-01-07 03:00,37.451
2019-01-07 04:00,36.551
2019-01-07 05:00,38.383
2019-01-07 06:00,41.694
2019-01-07 07:00,47.730
2019-01-07 08:00,54.374
2019-01-07 09:00,59.036
2019-01-07 10:00,63.482
2019-01-07 11:00,70.526
2019-01-07 12:00,88.589
2019-01-07 13:00,102.471
2019-01-07 14:00,108.367
2019-01-07 15:00,112.613
2019-01-07 16:00,106.341
2019-01-07 17:00,101.409
2019-01-07 18:00,100.087
2019-01-07 19:00,100.086
2019-01-07 20:00,91.438
2019-01-07 21:00,83.564
2019-01-07 22:00,86.365
2019-01-07 23:00,88.140
2019-01-08 00:00,88.166
2019-01-08 01:00,88.587
2019-01-08 02:00,85.416
2019-01-08 03:00,85.607
2019-01-08 04:00,92.817
2019-01-08 05:00,97.372
2019-01-08 06:00,94.579
2019-01-08 07:00,89.429
2019-01-08 08:00,80.038
2019-01-08 09:00,71.710
2019-01-08 10:00,59.414
2019-01-08 11:00,69.017
2019-01-08 12:00,79.323
2019-01-08 13:00,73.375
2019-01-08 14:00,64.352
2019-01-08 15:00,59.192
